index,idx,index,lon,lat,roadname,maxdiff,mindiff,mudiff,sddiff,mudo,mupu
0,0,-74.017788,40.712044,Esplanade,150.85714285714286,-578.4761904761906,-129.01190476190476,193.0140422176513,331.43849206349205,460.45039682539687
1,1,-74.017398,40.708457,W Thames St / S End Ave,137.71428571428572,-347.6190476190476,-19.18452380952381,121.1263893391938,90.78571428571429,109.97023809523807
2,2,-74.01678100000001,40.713998,N End Ave,6.8571428571428585,-240.0,-104.61309523809523,74.59288448009279,61.57142857142858,166.18452380952382
3,3,-74.016765,40.709333,Rector Pl,338.47619047619037,-642.2857142857142,-19.023809523809526,230.86939476171742,255.04960317460316,274.0734126984127
4,4,-74.016626,40.708134,W Thames St / Battery Pl,160.38095238095238,-475.8095238095238,-38.23809523809524,155.7045698633847,109.41666666666667,147.6547619047619
5,5,-74.016542,40.704733000000004,S Street Viaduct / S St Viaduct,343.6190476190475,-146.2857142857143,103.68650793650794,107.8964397355583,301.06944444444446,197.3829365079365
6,6,-74.01645400000001,40.705094,S St Viaduct / S St Viaduct,343.6190476190475,-146.2857142857143,103.68650793650794,107.8964397355583,301.06944444444446,197.3829365079365
7,7,-74.016385,40.705307,S St Viaduct / S St Viaduct,343.6190476190475,-146.2857142857143,103.68650793650794,107.8964397355583,301.06944444444446,197.3829365079365
8,8,-74.016198,40.714766999999995,N End Ave / Vesey St,41.71428571428571,-521.7142857142857,-226.57341269841268,179.55238287787063,190.52380952380952,417.0972222222222
9,9,-74.015952,40.715092999999996,N End Ave / Vesey St,50.85714285714285,-551.2380952380952,-231.61904761904762,187.02629755955704,231.46031746031747,463.0793650793651
10,10,-74.015786,40.711569,Liberty St / S End Ave,109.52380952380953,-431.42857142857144,-133.3392857142857,145.9561522419236,365.0337301587302,498.3730158730159
11,11,-74.01576899999999,40.717671,Warren St / River Ter,284.5714285714286,-582.4761904761904,-3.5674603174603123,224.73796865948853,149.50595238095238,153.07341269841268
12,12,-74.015598,40.715546,N End Ave / Murray St,89.90476190476193,-218.28571428571433,-22.58928571428572,65.03836055170801,117.18055555555556,139.76984126984127
13,13,-74.015495,40.715682,N End Ave / Murray St,89.90476190476193,-218.28571428571433,-22.58928571428572,65.03836055170801,117.18055555555556,139.76984126984127
14,14,-74.015383,40.715829,N End Ave / Murray St,113.71428571428572,-332.38095238095235,-36.76190476190475,100.09806227420509,104.55952380952381,141.32142857142858
15,15,-74.01521899999999,40.716014,N End Ave / N End Ave,113.71428571428572,-332.38095238095235,-36.76190476190475,100.09806227420509,104.55952380952381,141.32142857142858
16,16,-74.01517700000001,40.708484999999996,Rector St / State Rte 9a,281.9047619047619,-522.2857142857142,-65.76587301587303,210.1431457545284,289.2003968253968,354.9662698412699
17,17,-74.015024,40.716493,N End Ave / Park Pl W,100.76190476190476,-383.8095238095238,-50.29563492063492,119.28161881824028,77.59126984126983,127.88690476190476
18,18,-74.014999,40.718123999999996,River Ter / Chambers St,322.0952380952381,-518.8571428571428,25.59523809523809,218.45149950083834,164.84920634920636,139.25396825396828
19,19,-74.01483,40.709403,Carlisle St / State Rte 9a,459.6190476190476,-562.4761904761906,-7.230158730158736,262.74637779634475,464.843253968254,472.0734126984127
20,20,-74.014777,40.716378999999996,N End Ave / Park Pl W,100.76190476190476,-383.8095238095238,-50.29563492063492,119.28161881824028,77.59126984126983,127.88690476190476
21,21,-74.014668,40.709832,Albany St / State Rte 9a,398.66666666666663,-504.38095238095246,-27.287698412698408,235.62021731240065,415.38492063492066,442.6726190476191
22,22,-74.014543,40.717104,Warren St / N End Ave,152.76190476190473,-592.3809523809524,-64.13690476190476,182.4835152436937,114.18650793650795,178.32341269841268
23,23,-74.014455,40.710392,State Rte 9a / Cedar St,402.28571428571433,-53.52380952380943,119.32539682539682,98.92938958906296,299.140873015873,179.81547619047623
24,24,-74.014392,40.703598,Bridge St,556.1904761904763,-127.8095238095238,65.65674603174604,161.66891580311645,198.7638888888889,133.10714285714286
25,25,-74.014296,40.716992,Warren St / N End Ave,217.14285714285714,-533.5238095238094,-28.5,185.2563977778136,140.33928571428572,168.8392857142857
26,26,-74.014289,40.715385,Murray St / Murray St,1848.3809523809523,-136.19047619047612,240.7063492063492,492.4096242278881,410.656746031746,169.95039682539684
27,27,-74.014057,40.71772,N End Ave / Chambers St,213.52380952380946,-404.3809523809525,-10.521825396825397,150.2063527576702,136.6170634920635,147.13888888888889
28,28,-74.013808,40.717608,N End Ave / Chambers St,213.52380952380946,-404.3809523809525,-10.521825396825397,150.2063527576702,136.6170634920635,147.13888888888889
29,29,-74.013754,40.71369,State Rte 9a / Vesey St,1961.3333333333333,-329.33333333333326,217.64880952380952,606.8495810991514,476.25,258.60119047619054
30,30,-74.013539,40.714477,Barclay St / State Rte 9a,2387.6190476190477,-133.52380952380946,339.3015873015873,660.7876902834477,470.0992063492063,130.79761904761904
31,31,-74.013378,40.715092,Park Pl / State Rte 9a,2107.238095238095,-183.42857142857144,260.5654761904762,544.972500955346,385.8392857142857,125.27380952380952
32,32,-74.013341,40.715233000000005,State Rte 9a / Murray St,2107.238095238095,-183.42857142857144,260.5654761904762,544.972500955346,385.8392857142857,125.27380952380952
33,33,-74.013234,40.715656,State Rte 9a / Park Pl W,2107.238095238095,-183.42857142857144,260.5654761904762,544.972500955346,385.8392857142857,125.27380952380952
34,34,-74.013051,40.716454,Warren St / State Rte 9a,728.3809523809523,-103.99999999999994,84.00396825396827,165.83209637106705,325.82142857142856,241.81746031746033
