lon,lat,pickupcnt,dropoffcnt,roadname
-74.3300,40.6422,0,2,'NJSycamore St10003'
-74.3297,40.6558,0,1,'NJMaple St10003'
-74.3295,40.5313,0,1,'NJNorman St10003'
-74.3295,40.7215,0,2,'NJWellington Ave10003'
-74.3293,40.6537,0,2,'NJ2nd Ave10003|NJ2nd Ave10003+NJMaple St+10003'
-74.3285,40.6693,0,1,'NJMichael Dr10003'
-74.3267,40.5417,0,1,'NJPeake Rd10003'
-74.3265,40.5715,0,4,'NJBird Ave10003'
-74.3245,40.5702,0,1,'NJGill Ln10003'
-74.3241,40.5570,0,1,'NJMercer St10003|NJMercer St10003+NJWall St+10003'
-74.3228,40.7193,0,1,'NJMeadowbrook Rd10003|NJMeadowbrook Rd10003+NJBaltusrol Way+10003|NJBaltusrol Way10003'
-74.3216,40.8222,1,0,'NJ3rd Ave10003|NJ3rd Ave10003+NJCooper Ave+10003'
-74.3214,40.6850,0,1,'NJLawrence Rd10003'
-74.3198,40.6101,0,1,'NJSkyline Dr10003|NJSkyline Dr10003+NJKennedy Dr+10003|NJSkyline Dr10003+NJHilltop Ave+10003|NJKennedy Dr10003|NJKennedy Dr10003+NJHilltop Ave+10003|NJHilltop Ave10003'
-74.3195,40.6468,0,1,'NJHazel Ave10003|NJHazel Ave10003+NJLexington Ave+10003'
-74.3187,40.9179,0,1,'NJToms Point Ln10003'
-74.3162,40.7467,0,1,'NJN Beechcroft Rd10003'
-74.3154,40.7976,0,1,'NJGable Walk10003'
-74.3153,40.6463,0,1,'NJPreston Ave10003|NJPreston Ave10003+NJHillcrest Ave+10003'
-74.3132,40.7454,0,1,'NJBeechcroft Rd10003|NJBeechcroft Rd10003+NJRte 527+10003'
-74.3126,40.5584,0,1,'NJWoodbridge Commons Way10003'
-74.3120,40.6295,1,0,'NJJanie Ln10003|NJJanie Ln10003+NJRaritan Rd+10003'
-74.3110,40.7656,0,1,'NJBrayton Rd10003|NJBrayton Rd10003+NJFordham Rd+10003'
-74.3110,40.6910,0,1,'NJLenape Rd10003|NJLenape Rd10003+NJSmithfield Dr+10003'
-74.3097,40.5400,0,1,'NJMain St10003+NJBina Pl+10003|NJBina Pl10003'
-74.3096,40.7305,1,1,'NJGlen Ave10003+NJMarion Ave+10003|NJMarion Ave10003'
-74.3086,40.7157,0,1,'NJMechanic St10003'
-74.3086,40.8099,0,1,'NJMarlo Dr10003|NJMarlo Dr10003+NJBrandon Ave+10003|NJMarlo Rd10003|NJMarlo Rd10003+NJBrandon Ave+10003'
-74.3081,40.8834,0,1,'NJCampbell Rd10003'
-74.3081,40.7176,0,1,'NJWillow St10003|NJWillow St10003+NJE Willow St+10003|NJWillow St10003+NJRte 577+10003|NJE Willow St10003|NJE Willow St10003+NJRte 577+10003'
-74.3076,40.8697,0,1,'NJFairfield Rd10003|NJEssex County 61510003'
-74.3065,40.4710,1,0,'NJGarfield Pl10003+NJBuchanan Ave+10003'
-74.3062,40.5660,0,1,'NJGreen St10003+NJWorth St+10003|NJWorth St10003'
-74.3060,40.6696,0,1,'NJHerning Ave10003+NJBelmont Ave+10003'
-74.3051,40.7244,0,1,'NJLackawanna Pl10003|NJLackawanna Pl10003+NJRte 577+10003'
-74.3047,40.7120,0,1,'NJState Rte 12410002|NJState Rte 12410002+NJVictory Rd+10002|NJState Rte 12410002+NJState Rte 124+10002|NJSpringfield Ave10002+NJVictory Rd+10002|NJSpringfield Ave10002+NJMaple Ave+10002|NJState Rte 12410002+NJMaple Ave+10002|NJVictory Rd10003|NJVictory Rd10003+NJMaple Ave+10003|NJVictory Rd10003+NJState Rte 124+10003|NJMaple Ave10002|NJMaple Ave10002+NJState Rte 124+10002'
-74.3045,40.4693,0,1,'NJBuchanan Ave10003'
-74.3045,40.6545,0,2,'NJWalnut Ave10003+NJSouth Ave E+10003'
-74.3036,40.8079,1,0,'NJSykes Ave10003|NJSykes Ave10003+NJMcCall Ave+10003'
-74.3029,40.6561,1,0,'NJNorth Ave E10002+NJAlden St+10002|NJAlden St10003'
-74.3027,40.7189,0,1,'NJUndercliff Rd10003|NJUndercliff Rd10003+NJRidgewood Rd+10003|NJRidgewood Rd10003'
