lon,lat,pickupcnt,dropoffcnt,roadname
-74.3293,40.6537,0,1,'NJ2nd Ave10003|NJ2nd Ave10003+NJMaple St+10003'
-74.3201,40.6550,1,0,'NJ2nd Ave10003+NJOak St+10003|NJ2nd Ave10003+NJN Oak St+10003|NJOak St10003|NJOak St10003+NJN Oak St+10003|NJN Oak St10003'
-74.3167,40.7830,1,0,'NJCivic Center Rd10003'
-74.3112,40.5597,0,1,'NJGill Ln10003+NJWoodbridge Commons Way+10003|NJWoodbridge Commons Way10009'
-74.3097,40.6485,0,1,'NJRetford Ave10003+NJCulin Dr+10003|NJCulin Dr10003'
-74.2727,40.9469,0,1,'NJRatzer Rd10003+NJLake Dr E+10003|NJCo Rd 50410003+NJLake Dr E+10003|NJLake Dr E10003'
-74.2367,40.5424,1,0,'NYClay Pit Rd10003|NYClay Pit Rd10003+NYArthur Kill Rd+10003'
-74.2356,40.5387,0,1,'NYMuriel St10003|NYMuriel St10003+NYLundsten Ave+10003|NYLundsten Ave10003'
-74.2286,40.6737,1,0,'NJWilson Ter10003'
-74.2198,40.6679,0,1,'NJWestfield Ave10002+NJLowden St+10002|NJLowden St10003'
-74.2194,40.6702,1,0,'NJSayre St10003|NJSayre St10003+NJMorris Ave+10003'
-74.2172,40.5383,0,1,'NYMarisa Cir10003|NYMarisa Cir10003+NYMarisa Cir+10003'
-74.2168,40.6746,1,1,'NJParker Rd10003+NJUnion Ave+10003'
-74.2159,40.5476,0,1,'NYMillennium Loop10003'
-74.2050,40.6655,1,0,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.1939,40.6820,1,0,'NJSpring St10003+NJUS Hwy 1+10003|NJUS Hwy 110002'
-74.1931,40.6843,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJUS Hwy 9+10002|NJState Rte 8110002+NJUS Hwy 1+10002'
-74.1917,40.6902,0,1,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJUS Hwy 110002+NJUS Hwy 9+10002'
-74.1903,40.6755,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJState Rte 81+10002'
-74.1876,40.6876,0,1,'NJBrewster Rd10003'
