lon,lat,pickupcnt,dropoffcnt,roadname
-74.3296,40.7847,0,1,'NJCarlisle Dr10003'
-74.3294,40.5919,0,1,'NJNeptune Pl10003|NJNeptune Pl10003+NJPredmore Ave+10003|NJPredmore Ave10003'
-74.3290,40.6604,0,1,'NJStevens Ave10003|NJFairview Ave10003'
-74.3288,40.7309,0,1,'NJChestnut Pl10003'
-74.3183,40.9650,1,0,'NJChatfield Dr10009|NJChatfield Dr10009+NJChatfield Dr+10009'
-74.3035,40.7204,0,1,'NJParkview Dr10003+NJSouthern Slope Dr+10003|NJSouthern Slope Dr10003'
-74.2997,40.4919,0,1,'NJKearney Rd10003|NJKearney Rd10003+NJColeman St+10003|NJColeman St10003'
-74.2996,40.4778,1,0,'NJVal St10003'
-74.2992,40.7676,0,1,'NJDogwood Rd10003+NJDogwood Dr+10003|NJDogwood Dr10003'
-74.2802,40.7306,1,1,'NJBaker St10003+NJEveritt Pl+10003|NJEveritt Pl10003'
-74.2770,40.6583,0,1,'NJ1st Ave10003+NJGordon St+10003|NJW 1st Ave10003+NJGordon St+10003|NJGordon St10003'
-74.2741,40.7384,0,1,'NJArcularius Ter10003|NJArcularius Ter10003+NJHeadley Pl+10003'
-74.2738,40.7374,0,1,'NJKendal Ave10003+NJHoffman St+10003|NJHoffman St10003'
-74.2713,40.8021,1,0,'NJMellon Ave10003'
-74.2706,40.7777,0,1,'NJArverne Rd10003+NJBirchwood Ave+10003|NJBirchwood Ave10003'
-74.2540,40.7947,0,1,'NJRooney Cir10003'
-74.2537,40.8982,0,1,'NJOld Turnpike Rd10002'
-74.2392,40.5075,0,1,'NYPetunia Ct10003'
-74.2332,40.8051,0,1,'NJUndercliff Dr10003'
-74.2294,40.6797,0,1,'NJElizabethtown Plz10003|NJKean Dr10003'
-74.2253,40.7620,0,1,'NJCentral Ave10003+NJS Harrison St+10003'
-74.2232,40.4011,1,0,'NJCrest Way10003'
-74.2134,40.6769,0,1,'NJFairmount Ave10003|NJFairmount Ave10003+NJN Broad St+10003'
-74.2126,40.9205,1,1,'NJColonial Rd10003'
-74.2110,40.8271,0,1,'NJMidland Ave10003+NJMid Park Ln+10003|NJMid Park Ln10003'
-74.2108,40.8438,0,1,'NJUpper Mountain Ave10003+NJBradford Ave+10003|NJBradford Ave10003'
-74.2100,40.8071,0,1,'NJBloomfield Ave10003+NJPine St+10003|NJBloomfield Ave10003+NJMaple Ave+10003|NJRte 50610003+NJPine St+10003|NJRte 50610003+NJMaple Ave+10003|NJPine St10003|NJPine St10003+NJMaple Ave+10003|NJMaple Ave10003'
-74.2099,40.5416,0,1,'NYJourneay Ave10003|NYJourneay Ave10003+NYLenevar Ave+10003|NYJourneay Ave10003+NYWoodrow Rd+10003|NYLenevar Ave10003|NYLenevar Ave10003+NYWoodrow Rd+10003'
-74.2077,40.5433,0,1,'NYBerne Pl10003'
-74.2071,40.8124,0,1,'NJPine St10003+NJClaremont Ave+10003'
-74.2016,40.5276,0,1,'NYFoster Rd10003+NYWheeling Ave+10003'
-74.2008,40.7977,0,1,'NJPark St10003|NJPark St10003+NJBloomfield Ave+10003'
-74.1984,40.6760,0,1,'NJUS Hwy 910002+NJMeadow St+10002|NJUS Hwy 110002+NJMeadow St+10002|NJSpring St10002+NJMeadow St+10002'
