lon,lat,pickupcnt,dropoffcnt,roadname
-74.3076,40.8697,0,1,'NJFairfield Rd10003|NJEssex County 61510003'
-74.2888,40.5757,0,1,'NJUS Hwy 910002+NJTappen St+10002|NJTappen St10003+NJUS Hwy 1+10003'
-74.2739,40.9114,0,1,'NJCaroline Ter10003|NJCaroline Ter10003+NJS Valley Rd+10003'
-74.2692,40.9117,1,0,'NJOak St10003|NJOak St10003+NJRiveredge Rd+10003'
-74.2552,40.7055,1,0,'NJJulian Ter10003'
-74.2539,40.6997,0,1,'NJAmherst Ave10003|NJAmherst Ave10003+NJEarl St+10003'
-74.2507,40.6736,0,1,'NJClermont Ter10003+NJEdgewood Pkwy+10003|NJEdgewood Pkwy10003'
-74.2381,40.5036,0,1,'NYWildwood Ln10003|NYWildwood Ln10003+NYForest Ln+10003'
-74.2160,40.6860,1,0,'NJQueen Ct10003'
-74.2100,40.6871,0,1,'NJGarfield Pl10003|NJGarfield Pl10003+NJCross Ave+10003'
-74.2085,40.6814,1,0,'NJNewark Ave10003+NJSheridan Ave+10003|NJNewark Ave10003+NJNorth Ave+10003|NJNewark Ave10003+NJState Rte 439+10003|NJSheridan Ave10003'
-74.2050,40.6655,1,1,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.2028,40.6489,0,1,'NJAtlantic St10003'
-74.1949,40.5484,1,2,'NYEverton Pl10003'
-74.1933,40.6872,0,1,'NJSpring St10003'
-74.1908,40.5474,0,1,'NYHolcomb Ave10003+NYWoodrow Rd+10003'
-74.1903,40.6755,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJState Rte 81+10002'
-74.1866,40.6997,0,2,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,2,'NJTower Rd10003'
-74.1845,40.6954,1,2,'NJBrewster Rd10003'
-74.1844,40.6889,0,1,'NJTerminal A10003'
-74.1843,40.6898,0,2,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,1,'NJTerminal A10003'
-74.1840,40.6913,0,2,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,5,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1832,40.6927,0,1,'NJNewark International Airport St10003'
-74.1827,40.6881,1,33,'NJExpress Rd10003'
-74.1827,40.6946,0,6,'NJRadar Rd10003'
-74.1825,40.7056,0,1,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 9+10002|NJUS Hwy 110002+NJUS Hwy 1+10002'
-74.1822,40.7064,0,1,'NJUS Hwy 110002'
-74.1808,40.7878,1,0,'NJKimball St10003|NJKimball St10003+NJWatsessing Ave+10003'
-74.1806,40.6883,0,10,'NJExpress Rd10003'
-74.1792,40.6618,1,0,'NJVeterans Memorial Dr10003'
-74.1787,40.5433,0,1,'NYCarlton Blvd10003|NYCarlton Blvd10003+NYJefferson Blvd+10003|NYCarlton Blvd10003+NYCarlton Blvd+10003|NYJefferson Blvd10003|NYJefferson Blvd10003+NYCarlton Blvd+10003'
-74.1787,40.6883,0,11,'NJRadar Rd10003'
-74.1785,40.6127,0,2,'NYLois Ln10003|NYLois Ln10003+NYMerrill Ave+10003|NYMerrill Ave10003'
-74.1784,40.7086,1,5,'NJUS Hwy 110002'
-74.1784,40.7081,0,1,'NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002'
-74.1781,40.6641,0,1,'NJFashion Dr10003'
-74.1780,40.7086,0,1,'NJUS Hwy 910002+NJUS Hwy 22+10002|NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJUS Hwy 1+10002'
-74.1775,40.6910,3,271,'NJTerminal B10003'
-74.1770,40.6634,0,1,'NJFashion Dr10003'
-74.1769,40.6908,0,7,'NJTerminal B10003'
-74.1735,40.7114,0,4,'NJI 7810001'
-74.1734,40.7334,0,1,'NJLafayette St10003|NJLafayette St10003+NJBroad St+10003'
-74.1717,40.7303,0,1,'NJElm St10003|NJElm St10003+NJMulberry St+10003'
-74.1705,40.7118,1,1,'NJFrontage Rd10003'
-74.1656,40.7166,0,1,'NJAdams St10003'
-74.1651,40.5880,0,1,'NYCountry Dr S10003'
-74.1648,40.5874,3,3,'NYRichmond Hill Rd10003+NYCountry Dr W+10003|NYCountry Dr W10003'
-74.1629,40.7347,0,1,'NJRaymond Blvd10003+NJRaymond Plz E+10003'
-74.1606,40.7098,0,4,'NJUS Hwy 910002+NJI 78+10002|NJUS Hwy 2210002|NJI 7810001+NJUS Hwy 1+10001'
-74.1598,40.7098,0,1,'NJI 7810001'
-74.1594,40.6151,2,1,'NYLamberts Ln10003+NYAstor Ave+10003|NYAstor Ave10003'
-74.1575,40.8891,0,1,'NJPaxton St10003|NJPaxton St10003+NJCrooks Ave+10003|NJPaxton St10003+NJPassaic County 630+10003|NJPaxton St10003+NJ6th Ave+10003|NJCrooks Ave10003+NJ6th Ave+10003|NJPassaic County 63010003+NJ6th Ave+10003|NJ6th Ave10003'
-74.1574,40.7116,1,1,'NJFrontage Rd10003+NJUS Hwy 9+10003|NJFrontage Rd10003+NJUS Hwy 1+10003'
-74.1545,40.6257,0,1,'NYVan Name Ave10003'
-74.1540,40.5343,0,1,'NYHylan Blvd10003+NYRichmond Ave+10003'
-74.1504,40.5872,0,1,'NYMcVeigh Ave10003|NYMcVeigh Ave10003+NYEvans St+10003'
-74.1495,40.6316,0,1,'NYWalker St10003+NYWalker Dr+10003|NYWalker Dr10003'
-74.1475,40.6294,0,1,'NYSaint Adalbert Pl10003|NYSaint Adalbert Pl10003+NYMorningstar Rd+10003|NYSaint Adalbert Pl10003+NYSt Adalbert Pl S+10003|NYMorningstar Rd10003+NYSt Adalbert Pl S+10003|NYSt Adalbert Pl S10003'
-74.1462,40.5452,0,1,'NYCleveland Ave10003+NYNash Ct+10003|NYNash Ct10003'
-74.1431,40.5742,0,1,'NYSt George Rd10003+NYRigby Ave+10003|NYSt George Rd10003+NYRigby St+10003|NYRigby Ave10003|NYRigby Ave10003+NYRigby St+10003|NYRigby St10003'
-74.1419,40.7115,0,1,'NJRutherford St10003'
-74.1369,40.6386,0,1,'NYSharpe Ave10003+NYGrove Ave+10003|NYGrove Ave10003'
-74.1358,40.6076,0,1,'NYIngram Ave10003'
-74.1354,40.5785,0,1,'NYLondon Rd10003'
-74.1339,40.7214,1,1,'NJI 9510001|NJI 9510001+NJI 95+10001'
-74.1283,40.5820,0,1,'NYFlorida Ter10003|NYFlorida Ter10003+NYRockland Ave+10003|NYRockland Ave10003'
-74.1273,40.5991,0,1,'NYCherry Pl10003|NYCherry Pl10003+NYSuffolk Ave+10003'
-74.1259,40.8476,0,1,'NJRutgers Pl10003|NJRutgers Pl10003+NJMain Ave+10003|NJRutgers Pl10003+NJPassaic County 601+10003'
-74.1205,40.8797,0,1,'NJAckerman Ave10003'
-74.1178,40.7551,1,1,'NJNew Jersey Tpke10001+NJI 280+10001|NJI 9510001+NJI 280+10001|NJI 28010001'
-74.1168,40.6109,2,1,'NYStaten Island Pkwy10001+NYSlosson Ave+10001|NYI 27810001+NYSlosson Ave+10001'
-74.1165,40.5726,0,1,'NYRose Ave10003+NY8th St+10003'
-74.1134,40.6006,0,1,'NYMerrick Ave10003'
-74.1104,40.5953,0,2,'NYCircle Rd10003|NYCircle Rd10003+NYWhitlock Ave+10003|NYWhitlock Ave10003|NYWhitlock Ave10003+NYRedmond Ave+10003|NYRedmond Ave10003'
