lon,lat,pickupcnt,dropoffcnt,roadname
-74.3241,40.5570,0,1,'NJMercer St10003|NJMercer St10003+NJWall St+10003'
-74.3050,40.8751,1,0,'NJEric Rd10003'
-74.2978,40.6041,0,1,'NJHemlock St10003|NJHemlock St10003+NJJensen Ave+10003'
-74.2877,40.9098,1,0,'NJTwo Bridges Rd10003'
-74.2758,40.6058,0,1,'NJIrving St10003|NJIrving St10003+NJE Milton Ave+10003'
-74.2705,40.8217,1,0,'NJLapis Cir10003'
-74.2657,40.7272,0,1,'NJOakview Ave10003+NJSummit Ave+10003'
-74.2529,40.4508,1,0,'NJMaurer Ave10003'
-74.2382,40.6241,0,1,'NJE 15th St10003'
-74.2326,40.8727,0,1,'NJLopez Rd10003|NJLopez Rd10003+NJChase Pl+10003|NJChase Pl10003|NJChase Pl10003+NJAnderson Pkwy+10003|NJAnderson Pkwy10003'
-74.2295,40.7012,0,1,'NJHillside Ave10003+NJLiberty Ave+10003'
-74.2201,40.6480,0,1,'NJGrier Ave10003+NJMyrtle St+10003'
-74.2198,40.5264,0,1,'NYS Svc Rd10003+NYGaynor St+10003|NYGaynor St10003'
-74.2099,40.8176,0,1,'NJErie St10003|NJErie St10003+NJDepot Sq+10003|NJErie St10003+NJLabel St+10003|NJDepot Sq10003|NJDepot Sq10003+NJLabel St+10003'
-74.2063,40.8008,0,1,'NJWoodland Ave10003+NJHillcrest Rd+10003|NJHillcrest Rd10003'
-74.2050,40.6655,1,0,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.1984,40.4029,1,1,'NJDanae Ct10003'
-74.1974,40.6879,0,1,'NJFloral Ave10003|NJFloral Ave10003+NJMc Clellan St+10003'
-74.1949,40.5484,1,1,'NYEverton Pl10003'
-74.1933,40.6872,0,2,'NJSpring St10003'
-74.1931,40.6843,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJUS Hwy 9+10002|NJState Rte 8110002+NJUS Hwy 1+10002'
-74.1915,40.5503,0,1,'NYRuxton Ave10003'
-74.1866,40.6997,0,2,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,1,'NJTower Rd10003'
-74.1863,40.6931,0,1,'NJBrewster Rd10003|NJBrewster Rd10003+NJTower Rd+10003'
-74.1844,40.6889,0,3,'NJTerminal A10003'
-74.1843,40.6898,0,1,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,4,'NJTerminal A10003'
-74.1840,40.6913,0,2,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,11,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
