lon,lat,pickupcnt,dropoffcnt,roadname
-74.3126,40.5584,0,1,'NJWoodbridge Commons Way10003'
-74.3066,40.5563,0,1,'NJHighview Dr10009'
-74.2999,40.5363,0,1,'NJPark Rd10009|NJPark Rd10009+NJPark Rd+10009'
-74.2709,40.9025,0,1,'NJAlexander St10003'
-74.2562,40.7442,0,1,'NJProspect St10003+NJIrvington Ave+10003'
-74.2425,40.6912,0,1,'NJBrookside Dr10003|NJBrookside Dr10003+NJSterling Rd+10003|NJSterling Rd10003'
-74.2421,40.6507,1,1,'NJCarolyn Ter10003'
-74.2313,40.6255,0,1,'NJWestbrook Dr10003'
-74.2207,40.7135,0,1,'NJLeslie St10003+NJLyons Ave+10003'
-74.2167,40.5390,0,1,'NYDexter Ave10003|NYDexter Ave10003+NYLynbrook Ave+10003|NYLynbrook Ave10003'
-74.2159,40.6676,0,1,'NJMorris Ave10003|NJMorris Ave10003+NJJulian Pl+10003|NJJulian Pl10003'
-74.1986,40.5871,1,0,'NYVictory Blvd10003+NYWild Ave+10003|NYWild Ave10003'
-74.1933,40.6872,0,1,'NJSpring St10003'
-74.1930,40.6873,0,2,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJUS Hwy 110002+NJUS Hwy 9+10002'
-74.1870,40.7021,1,0,'NJHaynes Ave10003'
-74.1866,40.6997,0,8,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,2,'NJTower Rd10003'
-74.1863,40.6931,0,1,'NJBrewster Rd10003|NJBrewster Rd10003+NJTower Rd+10003'
-74.1859,40.6935,1,2,'NJExpress Rd10003'
-74.1845,40.6954,0,2,'NJBrewster Rd10003'
-74.1844,40.6889,0,2,'NJTerminal A10003'
-74.1843,40.6898,0,6,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,5,'NJTerminal A10003'
-74.1841,40.6928,0,1,'NJExpress Rd10003'
-74.1840,40.6913,0,5,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,22,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1834,40.5654,0,1,'NYKenilworth Ave10003|NYKenilworth Ave10003+NYArthur Kill Rd+10003'
-74.1832,40.6927,2,5,'NJNewark International Airport St10003'
-74.1827,40.6881,0,82,'NJExpress Rd10003'
-74.1827,40.6946,0,10,'NJRadar Rd10003'
-74.1825,40.7056,1,2,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 9+10002|NJUS Hwy 110002+NJUS Hwy 1+10002'
-74.1812,40.7082,1,0,'NJMcCarter Hwy10002|NJMcCarter Hwy10002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJState Rte 21+10002|NJState Rte 2110002'
-74.1806,40.6883,0,36,'NJExpress Rd10003'
-74.1787,40.6883,1,22,'NJRadar Rd10003'
-74.1784,40.7086,0,1,'NJUS Hwy 110002'
-74.1781,40.6641,0,1,'NJFashion Dr10003'
-74.1780,40.7086,0,3,'NJUS Hwy 910002+NJUS Hwy 22+10002|NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJUS Hwy 1+10002'
-74.1780,40.8607,1,0,'NJBarberry Ln10003'
-74.1775,40.6910,2,508,'NJTerminal B10003'
-74.1769,40.6908,0,21,'NJTerminal B10003'
-74.1737,40.6534,1,0,'NJPuleo Plz10003|NJPuleo Plz10003+NJAtalanta Plz+10003|NJPuleo Plz10003+NJAtalanta Pl+10003|NJAtalanta Plz10003|NJAtalanta Pl10003'
-74.1735,40.7114,0,1,'NJI 7810001'
-74.1707,40.7976,0,1,'NJFreedom Ln10003'
-74.1705,40.7118,0,1,'NJFrontage Rd10003'
-74.1689,40.6747,1,1,'NJIkea Dr10003|NJIkea Dr10003+NJIkea Dr+10003'
-74.1665,40.7342,0,1,'NJMcCarter Hwy10002+NJRte 510+10002|NJMcCarter Hwy10002+NJMarket St+10002|NJRte 51010003|NJRte 51010003+NJState Rte 21+10003|NJState Rte 2110002+NJMarket St+10002'
-74.1656,40.7166,0,1,'NJAdams St10003'
-74.1653,40.6019,0,1,'NYSigns Rd10003+NYToddy Ave+10003|NYToddy Ave10003'
-74.1648,40.5874,3,4,'NYRichmond Hill Rd10003+NYCountry Dr W+10003|NYCountry Dr W10003'
-74.1647,40.6112,0,1,'NYCommerce St10003|NYCommerce St10003+NYArlene St+10003'
-74.1633,40.6017,0,1,'NYSigns Rd10003'
-74.1621,40.8646,1,0,'NJKowal St10003|NJKowal St10003+NJClifton Ave+10003|NJKowal St10003+NJState Rte 161+10003'
-74.1606,40.7098,1,4,'NJUS Hwy 910002+NJI 78+10002|NJUS Hwy 2210002|NJI 7810001+NJUS Hwy 1+10001'
-74.1584,40.7119,0,2,'NJUS Hwy 910002+NJFrontage Rd+10002|NJFrontage Rd10003+NJUS Hwy 1+10003'
-74.1575,40.7084,0,2,'NJAirport Interchange St10001'
-74.1573,40.8883,2,2,'NJ6th Ave10003+NJW 1st St+10003'
-74.1562,40.7080,0,1,'NJAirport Interchange St10001'
-74.1556,40.7166,0,1,'NJUS Hwy 910002+NJSouth St+10002|NJSouth St10003|NJSouth St10003+NJStockton St+10003|NJSouth St10003+NJUS Hwy 1+10003|NJStockton St10003'
-74.1552,40.7081,0,1,'NJI 7810001'
-74.1538,40.6304,1,0,'NYVan Name Ave10003+NYNunzie Ct+10003|NYNunzie Ct10003'
-74.1528,40.8270,0,1,'NJHillside Ave10003+NJSaint Pauls Pl+10003|NJSaint Pauls Pl10003'
-74.1527,40.7211,0,1,'NJNew York Ave10003+NJGotthardt St+10003'
-74.1497,40.7655,0,1,'NJGrove St10003|NJGrove St10003+NJWindsor St+10003|NJWindsor St10003'
-74.1482,40.5914,1,0,'NYLovell Ave10003|NYLovell Ave10003+NYAshworth Ave+10003'
-74.1470,40.6102,0,1,'NYVictory Blvd10003+NYWillowbrook Rd+10003'
-74.1469,40.6106,0,1,'NYMontauk Pl10003'
-74.1468,40.7224,1,0,'NJUS Hwy 910002|NJUS Hwy 910002+NJNiagara St+10002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJNiagara St10003+NJUS Hwy 9+10003|NJNiagara St10003+NJUS Hwy 1+10003|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 9+10002|NJUS Hwy 110002+NJUS Hwy 1+10002'
-74.1464,40.5530,0,1,'NYExeter St10003|NYExeter St10003+NYLamoka Ave+10003'
-74.1419,40.7243,0,1,'NJAve L10003|NJAve L10003+NJSaint Charles St+10003|NJAve L10003+NJParis St+10003|NJSaint Charles St10003|NJSaint Charles St10003+NJParis St+10003|NJParis St10003'
-74.1404,40.7137,0,1,'NJI 9510001|NJI 9510001+NJI 95+10001'
-74.1398,40.7602,1,0,'NJArlington Ave10003'
-74.1385,40.7154,0,1,'NJNew Jersey Tpke10001+NJWilson Ave+10001|NJWilson Ave10003+NJI 95+10003'
-74.1362,40.7630,1,1,'NJStover Ave10003|NJStover Ave10003+NJLex Pl+10003|NJLex Pl10003'
-74.1361,40.6471,0,1,'NJCo Rd 73410003+NJW 2nd St+10003'
-74.1357,40.7293,0,1,'NJManufacturers Pl10003'
-74.1339,40.7214,0,3,'NJI 9510001|NJI 9510001+NJI 95+10001'
-74.1321,40.8313,1,0,'NJWilliam St10003'
-74.1314,40.5803,0,1,'NYScheffelin Ave10003|NYScheffelin Ave10003+NYMeisner Ave+10003'
-74.1294,40.6970,1,0,'NJPort St10003|NJPort St10003+NJEastport St+10003|NJEastport St10003'
-74.1284,40.7344,0,1,'NJRaymond Blvd10003+NJFerry St+10003|NJBlanchard St10003|NJBlanchard St10003+NJFerry St+10003|NJFerry St10003'
-74.1219,40.6342,0,1,'NYRoe St10003'
-74.1175,40.7351,0,1,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJPulaski Skwy+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJPulaski Skwy10002|NJPulaski Skwy10002+NJUS Hwy 1+10002'
-74.1168,40.6109,1,0,'NYStaten Island Pkwy10001+NYSlosson Ave+10001|NYI 27810001+NYSlosson Ave+10001'
-74.1128,40.6431,0,1,'NYRichmond Ter10003+NYPelton Pl+10003|NYRichmond Ter10003+NYElizabeth Ave+10003|NYPelton Pl10003|NYPelton Pl10003+NYElizabeth Ave+10003|NYElizabeth Ave10003'
-74.1125,40.8020,1,0,'NJPolito Ave10003'
-74.1123,40.7356,0,1,'NJ2nd St10003|NJ2nd St10003+NJJacobus Ave+10003'
-74.1120,40.6674,0,1,'NJAvenue E10003+NJE 29th St+10003|NJE 29th St10003'
-74.1104,40.6120,1,0,'NYLittle Clove Rd10003+NYAymar Ave+10003|NYAymar Ave10003'
-74.1090,40.7544,0,1,'NJBelleville Tpke10002+NJI 95+10002|NJBelleville Tpke10002+NJNew Jersey Tpke+10002|NJI 9510001+NJState Rte 7+10001|NJState Rte 710002+NJNew Jersey Tpke+10002'
-74.1089,40.7543,0,1,'NJNew Jersey Tpke10001+NJBelleville Tpke+10001|NJNew Jersey Tpke10001+NJState Rte 7+10001|NJBelleville Tpke10002+NJI 95+10002|NJI 9510001+NJState Rte 7+10001'
-74.1078,40.6224,0,1,'NYPelton Ave10003+NYBerwick Pl+10003|NYBerwick Pl10003'
-74.1032,40.8103,0,1,'NJPolito Ave10003|NJPolito Ave10003+NJRutherford Ave+10003|NJPolito Ave10003+NJState Rte 17+10003|NJRutherford Ave10003|NJState Rte 1710003'
-74.1020,40.5848,0,1,'NYN Railroad Ave10003+NYStobe Ave+10003|NYStobe Ave10003'
-74.1019,40.5975,0,2,'NYChapin Ave10003+NYDalemere Rd+10003'
-74.1018,40.7114,0,1,'NJKellogg St10003+NJSociety Hill Dr N+10003|NJSociety Hill Dr N10003'
-74.1015,40.7758,2,0,'NJNew Jersey Tpke10001|NJI 9510001'
-74.1010,40.5918,1,0,'NYRichmond Rd10003+NYGarretson Ave+10003|NYGarretson Ave10003'
-74.0914,40.7217,0,1,'NJWilliams Ave10003|NJWilliams Ave10003+NJBennett St+10003'
-74.0908,40.5912,0,1,'NYHenry Pl10003+NYAtlantic Ave+10003'
-74.0894,40.7042,0,1,'NJBergen Ave10003+NJArmstrong Ave+10003|NJArmstrong Ave10003|NJArmstrong Ave10003+NJCo Rd 607+10003'
-74.0890,40.6107,0,1,'NYRichmond Rd10003+NYConcord Pl+10003|NYConcord Pl10003'
-74.0881,40.5852,0,1,'NYGarretson Ave10003|NYGarretson Ave10003+NYMason Ave+10003'
-74.0874,40.6086,0,1,'NYDekalb St10003+NYOder Ave+10003|NYOder Ave10003'
-74.0865,40.7722,0,1,'NJCo Rd 65710003|NJNew County Rd Exd10003'
-74.0853,40.6309,0,1,'NYAustin Pl10003+NYNatalie Ct+10003|NYNatalie Ct10003'
-74.0846,40.6297,0,1,'NYOccident Ave10003+NYSunrise Ter+10003|NYSunrise Ter10003'
-74.0842,40.7618,1,1,'NJNew County Rd10003'
-74.0827,40.6136,0,1,'NYPark Hill Ave10003+NYSobel Ct+10003|NYSobel Ct10003'
-74.0821,40.6082,0,1,'NYElbe Ave10003+NYSteuben St+10003'
-74.0806,40.7622,0,1,'NJRiverside Station Blvd10003|NJRiverside Station Blvd10003+NJNew County Rd+10003'
-74.0795,40.8057,1,0,'NJMeadowlands Plz10003'
-74.0766,40.8067,0,2,'NJMeadowlands Plz10003'
-74.0764,40.7076,0,1,'NJClerk St10003+NJClaremont Ave+10003'
-74.0749,40.7291,0,1,'NJCo Rd 64110003+NJGlenwood Ave+10003|NJW Side Ave10003+NJGlenwood Ave+10003|NJGlenwood Ave10003'
-74.0741,40.7381,1,2,'NJWallis Ave10003+NJNewark Ave+10003|NJWallis Ave10003+NJCo Rd 644+10003'
-74.0728,40.8080,0,1,'NJState Rte 12010002'
-74.0707,40.7320,0,1,'NJVan Wagenen Ave10003+NJSip Ave+10003'
-74.0706,40.7357,1,1,'NJCo Rd 64110003+NJCo Rd 642+10003|NJCo Rd 64110003+NJBroadway+10003|NJW Side Ave10003+NJCo Rd 642+10003|NJW Side Ave10003+NJBroadway+10003'
-74.0693,40.6104,0,1,'NYDayna Dr10003|NYDayna Dr10003+NYDayna Dr+10003'
-74.0692,40.6041,0,1,'NYFingerboard Rd10003+NYStaten Island Pkwy+10003|NYFingerboard Rd10003+NYI 278+10003'
-74.0675,40.7263,0,1,'NJBergen Ave10003+NJMercer St+10003|NJBergen Ave10003+NJGlenwood Ave+10003|NJMercer St10003|NJMercer St10003+NJCo Rd 625+10003|NJMercer St10003+NJGlenwood Ave+10003|NJCo Rd 62510003+NJGlenwood Ave+10003|NJGlenwood Ave10003'
-74.0673,40.7335,0,1,'NJTonnele Ave10003+NJPavonia Ave+10003|NJCo Rd 64010003'
-74.0672,40.8533,0,1,'NJIndustrial Ave10003+NJVincent Pl+10003|NJVincent Pl10003'
