lon,lat,pickupcnt,dropoffcnt,roadname
-74.3287,40.5565,1,2,'NJWall St10003'
-74.3265,40.5715,0,1,'NJBird Ave10003'
-74.3231,40.5672,0,1,'NJGill Ln10003+NJBarbara Ct+10003|NJBarbara Ct10003'
-74.3168,40.8305,0,1,'NJEisenhower Pkwy10003'
-74.2756,40.6066,0,1,'NJLewis St10003'
-74.2702,40.6044,1,1,'NJLenox Pl10003'
-74.2635,40.5626,0,1,'NJE 5th Ave10003|NJE 5th Ave10003+NJCo Rd 604+10003|NJE 5th Ave10003+NJPort Reading Ave+10003'
-74.2540,40.7947,0,1,'NJRooney Cir10003'
-74.2491,40.8678,0,1,'NJRte 52710003+NJSpruce Rd+10003|NJSpruce Rd10003|NJSpruce Rd10003+NJMountain Ave+10003'
-74.2300,40.5916,0,1,'NJWedgewood Dr10003|NJWedgewood Dr10003+NJRoosevelt Ave+10003'
-74.2237,40.5392,0,1,'NYSalamander Ct10003'
-74.2018,40.6354,0,1,'NJS Front St10003|NJS Front St10003+NJMyrtle St+10003|NJMyrtle St10003'
-74.1951,40.6804,0,1,'NJNeck Ln10003|NJNeck Ln10003+NJSpring St+10003'
-74.1949,40.5484,1,0,'NYEverton Pl10003'
-74.1928,40.6876,0,1,'NJUS Hwy 110002+NJMc Clellan St+10002|NJMc Clellan St10003|NJMc Clellan St10003+NJUS Hwy 9+10003'
-74.1917,40.6902,0,3,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJUS Hwy 110002+NJUS Hwy 9+10002'
-74.1909,40.6761,0,2,'NJState Rte 8110002|NJState Rte 8110002+NJState Rte 81+10002'
-74.1904,40.7387,0,1,'NJBruce St10003|NJBruce St10003+NJRte 510+10003|NJBruce St10003+NJS Orange Ave+10003'
-74.1874,40.6876,0,2,'NJSouth Svc Rd Exd10003'
-74.1866,40.6997,0,2,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,5,'NJTower Rd10003'
-74.1844,40.6885,0,1,'NJSouth Svc Rd Exd10003'
-74.1844,40.6889,0,4,'NJTerminal A10003'
-74.1843,40.6898,1,7,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,6,'NJTerminal A10003'
-74.1840,40.6913,0,3,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,20,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1827,40.6881,2,94,'NJExpress Rd10003'
-74.1827,40.6946,0,4,'NJRadar Rd10003'
-74.1821,40.7101,1,0,'NJMcCarter Hwy10002+NJI 78+10002|NJI 7810001+NJState Rte 21+10001'
-74.1806,40.6883,0,26,'NJExpress Rd10003'
-74.1787,40.6883,0,8,'NJRadar Rd10003'
-74.1784,40.7086,0,1,'NJUS Hwy 110002'
-74.1780,40.7086,0,1,'NJUS Hwy 910002+NJUS Hwy 22+10002|NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJUS Hwy 1+10002'
