lon,lat,pickupcnt,dropoffcnt,roadname
-74.3003,40.7680,0,1,'NJDogwood Dr10003'
-74.2906,40.9104,1,0,'NJStonyridge Dr10003'
-74.2794,40.7555,0,1,'NJHoskier Rd10003'
-74.2791,40.7701,0,1,'NJSaint Cloud Ave10003|NJSaint Cloud Ave10003+NJNorthfield Ave+10003'
-74.2725,40.6872,0,1,'NJIndian Run Pkwy N10003+NJFlorence Ter+10003|NJFlorence Ter10003'
-74.2691,40.8700,1,0,'NJW Greenbrook Rd10003+NJHighfield Ter+10003|NJHighfield Ter10003'
-74.2682,40.8918,0,1,'NJUS Hwy 4610002|NJUS Hwy 4610002+NJUS Hwy 46+10002'
-74.2597,40.8762,0,1,'NJHampton Ct10003|NJHampton Ct10003+NJGrandview Ave+10003'
-74.2507,40.7225,0,1,'NJChancellor Ave10003+NJ44th St+10003|NJ44th St10003'
-74.2476,40.7261,1,0,'NJBecker Ter10003|NJBecker Ter10003+NJElmwood Ave+10003'
-74.2466,40.7019,1,0,'NJMcLean Pl10003'
-74.2458,40.7310,1,1,'NJParker Ave10003+NJCherry Pl+10003|NJCherry Pl10003'
-74.2367,40.5339,0,1,'NYEnglewood Ave10003|NYEnglewood Ave10003+NYArthur Kill Rd+10003'
-74.2346,40.5087,0,1,'NYSylvan Ct10003+NYKathleen Ct+10003|NYKathleen Ct10003'
-74.2315,40.5118,0,1,'NYPage Ave10003+NYJeffrey Pl+10003|NYJeffrey Pl10003'
-74.2216,40.8557,0,1,'NJMonroe St10003+NJDaniel Dr+10003|NJDaniel Dr10003'
-74.2214,40.7138,0,1,'NJLyons Ave10003+NJWainwright St+10003'
-74.2210,40.8260,0,1,'NJUpper Mountain Ave10003+NJAlpine St+10003|NJAlpine St10003'
-74.2167,40.5390,0,1,'NYDexter Ave10003|NYDexter Ave10003+NYLynbrook Ave+10003|NYLynbrook Ave10003'
-74.2166,40.7578,1,0,'NJCarnegie Ave10003|NJCarnegie Ave10003+NJShepard Ave+10003|NJShepard Ave10003'
-74.2152,40.7902,1,1,'NJCross St10003|NJCross St10003+NJRidgewood Ave+10003'
-74.2114,40.7649,0,1,'NJWilliam St10003+NJN Walnut St+10003'
-74.2064,40.8381,0,1,'NJNorthview Ave10003+NJSummit Ave+10003|NJSummit Ave10003'
-74.2050,40.6655,1,1,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.2022,40.7144,0,1,'NJLawton St10003|NJLawton St10003+NJHunterdon St+10003|NJHunterdon St10003'
-74.1998,40.7324,0,1,'NJSpringfield Ave10003+NJS 6th St+10003|NJS 6th St10003'
-74.1990,40.6751,0,1,'NJWoodruff Ln10003|NJWoodruff Ln10003+NJUS Hwy 9+10003|NJWoodruff Ln10003+NJUS Hwy 1+10003|NJWoodruff Ln10003+NJSpring St+10003'
-74.1968,40.5162,0,1,'NYSeguine Ave10003+NYMemo St+10003|NYMemo St10003'
-74.1949,40.5484,0,1,'NYEverton Pl10003'
-74.1939,40.6820,0,1,'NJSpring St10003+NJUS Hwy 1+10003|NJUS Hwy 110002'
-74.1930,40.6873,0,1,'NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJUS Hwy 9+10002|NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJUS Hwy 110002+NJUS Hwy 9+10002'
-74.1895,40.7048,0,1,'NJStation Rd10003'
-74.1866,40.6997,0,3,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
