lon,lat,pickupcnt,dropoffcnt,roadname
-74.3299,40.5817,0,1,'NJE Louis Pl10003'
-74.3288,40.7309,0,1,'NJChestnut Pl10003'
-74.3020,40.6306,0,1,'NJFlorence Dr10003'
-74.2642,40.7016,1,0,'NJStuyvesant Ave10003+NJMarianne Way+10003|NJStuyvesant Ave10003+NJKay Ave+10003|NJMarianne Way10003|NJMarianne Way10003+NJKay Ave+10003|NJKay Ave10003'
-74.2614,40.7027,0,1,'NJLong Ter10003+NJOxford Ln+10003|NJOxford Ln10003'
-74.2573,40.9691,1,1,'NJParkside Ct10003'
-74.2425,40.5074,0,1,'NYYetman Ave10003+NYPittsville Ave+10003|NYPittsville Ave10003'
-74.2350,40.7288,1,1,'NJCivic Sq W10003|NJCivic Sq W10003+NJClinton Ave+10003'
-74.2122,40.6734,0,1,'NJWhithead Pl10003|NJWhithead Pl10003+NJPennsylvania Ave+10003'
-74.2006,40.6748,0,1,'NJVan Buren Ave10003|NJVan Buren Ave10003+NJMeadow St+10003'
-74.1949,40.5484,1,1,'NYEverton Pl10003'
-74.1909,40.6761,0,1,'NJState Rte 8110002|NJState Rte 8110002+NJState Rte 81+10002'
-74.1892,40.6595,0,1,'NJTrumbull St10003+NJPapetti+10003|NJPapetti10003'
-74.1874,40.6876,0,2,'NJSouth Svc Rd Exd10003'
-74.1870,40.7021,0,1,'NJHaynes Ave10003'
-74.1866,40.6997,0,4,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,1,'NJTower Rd10003'
-74.1863,40.6931,0,1,'NJBrewster Rd10003|NJBrewster Rd10003+NJTower Rd+10003'
-74.1859,40.6935,0,2,'NJExpress Rd10003'
-74.1844,40.6889,0,2,'NJTerminal A10003'
-74.1843,40.6898,1,3,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,3,'NJTerminal A10003'
-74.1840,40.6913,0,1,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,0,16,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1827,40.6881,0,67,'NJExpress Rd10003'
-74.1827,40.6946,0,3,'NJRadar Rd10003'
