lon,lat,pickupcnt,dropoffcnt,roadname
-74.2753,40.6523,0,1,'NJBartlett St10003'
-74.2635,40.7003,1,0,'NJGrandview Ave10003'
-74.2472,40.7025,0,1,'NJGarden State Pkwy10002|NJGarden State Pkwy10002+NJGarden State Pkwy+10002'
-74.2068,40.6838,0,1,'NJNewark Ave10003+NJDurant St+10003|NJDurant St10003'
-74.2022,40.5534,0,1,'NYHuguenot Ave10003+NYLombard Ct+10003|NYLombard Ct10003'
-74.1895,40.6992,0,1,'NJStation Rd10003+NJBessemer St+10003|NJBessemer St10003'
-74.1866,40.6997,0,1,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,0,2,'NJTower Rd10003'
-74.1848,40.6927,0,2,'NJTower Rd10003|NJTower Rd10003+NJTower Rd+10003'
-74.1845,40.6954,0,3,'NJBrewster Rd10003'
-74.1844,40.6889,0,14,'NJTerminal A10003'
-74.1843,40.6898,1,13,'NJSouth Svc Rd10003'
-74.1842,40.6893,0,8,'NJTerminal A10003'
-74.1840,40.6913,0,7,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1835,40.6884,1,49,'NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1827,40.6881,1,138,'NJExpress Rd10003'
-74.1827,40.6946,0,7,'NJRadar Rd10003'
-74.1806,40.6883,0,32,'NJExpress Rd10003'
-74.1787,40.6883,0,20,'NJRadar Rd10003'
-74.1784,40.7086,0,2,'NJUS Hwy 110002'
-74.1784,40.7081,0,1,'NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002'
-74.1780,40.7086,1,1,'NJUS Hwy 910002+NJUS Hwy 22+10002|NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002|NJUS Hwy 2210002+NJUS Hwy 1+10002'
-74.1775,40.6910,5,361,'NJTerminal B10003'
-74.1769,40.6908,0,9,'NJTerminal B10003'
-74.1745,40.8535,0,1,'NJAllwood Rd10003+NJGarden State Pkwy+10003|NJPassaic County 60210003+NJGarden State Pkwy+10003'
-74.1735,40.7114,0,2,'NJI 7810001'
-74.1660,40.5976,0,1,'NYMulberry Cir10003'
-74.1606,40.7098,0,7,'NJUS Hwy 910002+NJI 78+10002|NJUS Hwy 2210002|NJI 7810001+NJUS Hwy 1+10001'
-74.1556,40.7166,0,1,'NJUS Hwy 910002+NJSouth St+10002|NJSouth St10003|NJSouth St10003+NJStockton St+10003|NJSouth St10003+NJUS Hwy 1+10003|NJStockton St10003'
-74.1550,40.7085,1,0,'NJI 7810001'
-74.1521,40.7067,1,0,'NJNew Jersey Tpke10001+NJI 78+10001|NJI 7810001+NJI 95+10001'
-74.1460,40.6377,0,1,'NYWinant St10003'
-74.1411,40.8523,0,1,'NJBroadway10003+NJPearl St+10003|NJPearl St10003+NJPassaic County 622+10003'
-74.1366,40.7899,0,1,'NJBelmount Ave10003+NJProspect Ave+10003'
-74.1326,40.7305,1,0,'NJFoundry St10003+NJUS Hwy 9+10003|NJFoundry St10003+NJUS Hwy 1+10003'
-74.1279,40.7278,0,1,'NJAve P10003|NJAve P10003+NJRoanoke Ave+10003|NJRoanoke Ave10003'
-74.1231,40.7421,1,0,'NJNew Jersey Tpke10001|NJNew Jersey Tpke10001+NJNew Jersey Tpke+10001|NJNew Jersey Tpke10001+NJI 95+10001|NJI 9510001|NJI 9510001+NJNew Jersey Tpke+10001|NJI 9510001+NJI 95+10001'
-74.1229,40.6153,0,1,'NYGovernor Rd10003'
-74.1180,40.7551,0,1,'NJNew Jersey Tpke10001+NJI 280+10001|NJI 28010001+NJI 95+10001'
-74.1178,40.7551,1,0,'NJNew Jersey Tpke10001+NJI 280+10001|NJI 9510001+NJI 280+10001|NJI 28010001'
-74.1069,40.8263,0,1,'NJE Passaic Ave10003|NJE Passaic Ave10003+NJPark Ave+10003'
-74.1032,40.8103,0,1,'NJPolito Ave10003|NJPolito Ave10003+NJRutherford Ave+10003|NJPolito Ave10003+NJState Rte 17+10003|NJRutherford Ave10003|NJState Rte 1710003'
-74.1018,40.7114,0,1,'NJKellogg St10003+NJSociety Hill Dr N+10003|NJSociety Hill Dr N10003'
-74.0934,40.5790,0,1,'NYStobe Ave10003+NYMason Ave+10003'
-74.0927,40.6025,0,1,'NYRichmond Rd10003+NYVenice Ave+10003|NYVenice Ave10003'
-74.0855,40.6217,0,1,'NYVan Duzer St10003+NYMaxie Ct+10003|NYMaxie Ct10003'
-74.0841,40.6348,0,1,'NYRosewood Pl10003|NYRosewood Pl10003+NYBayview Pl+10003|NYBayview Pl10003'
-74.0830,40.7010,0,1,'NJWoodlawn Ave10003+NJOcean Ave+10003|NJCo Rd 60410003+NJOcean Ave+10003'
-74.0784,40.7059,0,1,'NJOcean Ave10003+NJBostwick Ave+10003|NJBostwick Ave10003'
-74.0782,40.5912,0,1,'NYNugent Ave10003+NYTony Ct+10003|NYTony Ct10003'
-74.0761,40.6435,0,1,'NYRichmond Ter10003+NYSchuyler St+10003|NYSchuyler St10003'
-74.0758,40.6359,0,1,'NYHannah St10003+NYBay St+10003'
-74.0713,40.7266,1,0,'NJState Rte 50110002+NJMontgomery St+10002|NJJohn F Kennedy Blvd10002+NJMontgomery St+10002'
-74.0671,40.7349,0,1,'NJCo Rd 64210003|NJBroadway10003'
-74.0634,40.7326,0,1,'NJJournal Square Plz10002|NJJournal Square Plz10002+NJJournal Concourse Sq E+10002|NJJournal Square Plz10002+NJJohn F Kennedy Blvd+10002|NJJournal Square Plz10002+NJState Rte 501+10002|NJJournal Concourse Sq E10003|NJJournal Concourse Sq E10003+NJJohn F Kennedy Blvd+10003|NJJournal Concourse Sq E10003+NJState Rte 501+10003'
-74.0619,40.7488,1,0,'NJCounty Rd10003+NJQuincy St+10003|NJQuincy St10003'
-74.0598,40.7783,1,0,'NJCo Rd 65310003+NJUps Dr+10003|NJCounty Ave10003+NJUps Dr+10003|NJUps Dr10003'
-74.0594,40.7325,0,1,'NJCentral Ave10003|NJCentral Ave10003+NJLott St+10003|NJCentral Ave10003+NJPavonia Ave+10003|NJLott St10003|NJLott St10003+NJPavonia Ave+10003'
-74.0565,40.7138,1,0,'NJPine St10003+NJAsh St+10003|NJAsh St10003'
-74.0521,40.7584,0,1,'NJTerrace Ave10003+NJCo Rd 668+10003|NJTerrace Ave10003+NJLeonard St+10003|NJCo Rd 66810003|NJCo Rd 66810003+NJCo Rd 649+10003|NJLeonard St10003|NJLeonard St10003+NJCo Rd 649+10003'
-74.0521,40.7099,1,0,'NJPhillip St10003|NJPhillip St10003+NJJohnston Ave+10003|NJPhillip St10003+NJAudrey Zapp Dr+10003|NJJohnston Ave10003|NJJohnston Ave10003+NJAudrey Zapp Dr+10003|NJAudrey Zapp Dr10003'
-74.0515,40.7328,0,1,'NJPalisade Ave10003+NJFleet St+10003|NJFleet St10003'
-74.0488,40.7354,1,0,'NJHill St10003'
-74.0482,40.7211,0,1,'NJVarick St10003|NJVarick St10003+NJColes St+10003|NJColes St10003'
-74.0480,40.7479,0,1,'NJCentral Ave10003+NJCharles St+10003|NJCo Rd 66310003+NJCharles St+10003|NJCharles St10003'
-74.0461,40.7428,0,1,'NJHutton St10003+NJNew York Ave+10003'
-74.0454,40.7771,0,1,'NJI 49510001+NJState Rte 3+10001'
-74.0441,40.7175,0,1,'NJCo Rd 62410003|NJCo Rd 62410003+NJGrove St+10003|NJGrove St10003+NJMontgomery St+10003'
-74.0439,40.7276,0,1,'NJPavonia Ave10003'
-74.0430,40.7144,0,2,'NJHenderson St10003|NJHenderson St10003+NJHenderson St+10003|NJHenderson St10003+NJMarin Blvd+10003|NJHenderson St10003+NJLuis Munoz Marin Blvd+10003|NJMarin Blvd10003|NJMarin Blvd10003+NJLuis Munoz Marin Blvd+10003'
-74.0426,40.7855,1,0,'NJPlaza Dr10003|NJPlaza Dr10003+NJPark Plaza Dr+10003'
-74.0418,40.7273,0,1,'NJManila Ave10003+NJPavonia Ave+10003|NJPavonia Ave10003|NJPavonia Ave10003+NJCo Rd 635+10003|NJPavonia Ave10003+NJGrove St+10003'
-74.0408,40.7229,0,1,'NJHenderson St10003+NJ3rd St+10003|NJ3rd St10003|NJ3rd St10003+NJLuis Munoz Marin Blvd+10003'
-74.0406,40.7687,0,1,'NJJohn F Kennedy Blvd10002+NJ21st St+10002|NJKennedy Blvd10002+NJ21st St+10002|NJ21st St10003+NJState Rte 501+10003'
-74.0392,40.7452,0,1,'NJ6th St10003+NJJackson St+10003'
-74.0382,40.7387,0,1,'NJJefferson St10003+NJ1st St+10003'
-74.0378,40.7371,0,1,'NJAdams St10003'
-74.0367,40.6147,1,0,'NY98th St10003'
-74.0367,40.6353,0,1,'NY72nd Ct10003'
-74.0366,40.6366,0,1,'NY71st St10003'
-74.0361,40.7305,1,0,'NJ13th St10003'
-74.0358,40.7244,0,1,'NJWashington St10003|NJWashington St10003+NJThomas Gangemi Dr+10003|NJWashington St10003+NJ6th St+10003|NJWashington St10003+NJWashington Blvd+10003|NJThomas Gangemi Dr10003|NJThomas Gangemi Dr10003+NJ6th St+10003|NJThomas Gangemi Dr10003+NJWashington Blvd+10003|NJ6th St10003|NJ6th St10003+NJWashington Blvd+10003|NJWashington Blvd10003'
-74.0352,40.7905,0,1,'NJ50th St10003'
-74.0350,40.6354,0,1,'NYNarrows Ave10003+NY72nd St+10003'
-74.0349,40.7738,1,0,'NJState Rte 50110002+NJI 495+10002|NJI 49510001+NJJohn F Kennedy Blvd+10001|NJI 49510001+NJKennedy Blvd+10001'
-74.0336,40.6128,0,1,'NY100th St10003+NY4th Ave+10003'
-74.0333,40.6179,0,1,'NY3rd Ave10003+NY94th St+10003'
-74.0329,40.7372,0,1,'NJGarden St10003+NJNewark St+10003|NJCo Rd 67310003+NJNewark St+10003'
-74.0322,40.7714,1,1,'NJ29th St10003+NJCentral Ave+10003'
-74.0321,40.7427,0,1,'NJ5th St10003+NJPark Ave+10003|NJPark Ave10003'
-74.0320,40.6210,0,1,'NY90th St10003|NY90th St10003+NY3rd Ave+10003'
-74.0319,40.6172,0,1,'NYLafayette Walk10003|NYLafayette Walk10003+NY94th St+10003'
-74.0318,40.7288,0,1,'NJNewport Pkwy10003'
-74.0315,40.6153,0,1,'NY4th Ave10003+NY96th St+10003|NY96th St10003'
-74.0314,40.6227,0,1,'NY87th St10003+NY3rd Ave+10003'
-74.0311,40.7492,0,2,'NJ10th St10003+NJWillow Ave+10003|NJ10th St10003+NJCo Rd 675+10003'
-74.0308,40.6080,0,2,'NYMarshall Dr10003|NYMarshall Dr10003+NYRoosevelt Ln+10003|NYMarshall Dr10003+NYRoosevelt+10003|NYMarshall Dr10003+NYPence St+10003|NYRoosevelt Ln10003|NYRoosevelt Ln10003+NYRoosevelt+10003|NYRoosevelt Ln10003+NYPence St+10003|NYRoosevelt10003|NYRoosevelt10003+NYPence St+10003|NYPence St10003'
-74.0308,40.6314,0,1,'NYRidge Blvd10003+NY76th St+10003'
-74.0307,40.7271,0,1,'NJRiver Ct10003'
-74.0305,40.6165,1,0,'NY5th Ave10003+NY94th St+10003'
-74.0305,40.6321,0,1,'NYRidge Blvd10003+NY75th St+10003|NYRidge Blvd10003+NYBay Ridge Pkwy+10003'
-74.0294,40.6148,0,1,'NYFort Hamilton Pkwy10003+NY95th St+10003|NY95th St10003'
-74.0294,40.6348,0,1,'NYRidge Blvd10003+NY71st St+10003'
-74.0293,40.6179,0,1,'NY92nd St10003+NY5th Ave+10003'
-74.0293,40.6278,0,1,'NY80th St10003+NY3rd Ave+10003'
-74.0290,40.6286,1,1,'NY79th St10003+NY3rd Ave+10003'
-74.0289,40.6359,0,1,'NYRidge Blvd10003+NY70th St+10003|NY70th St10003'
-74.0287,40.7685,0,1,'NJAngelique St10003|NJAngelique St10003+NJ27th St+10003|NJAngelique St10003+NJPalisade Ave+10003|NJAngelique St10003+NJCo Rd 672+10003|NJ27th St10003|NJ27th St10003+NJPalisade Ave+10003|NJ27th St10003+NJCo Rd 672+10003|NJPalisade Ave10003+NJCo Rd 672+10003|NJCo Rd 67210003'
-74.0287,40.6156,0,1,'NYFort Hamilton Pkwy10003+NY94th St+10003|NY94th St10003'
-74.0285,40.7514,0,1,'NJGarden St10003+NJ12th St+10003|NJ12th St10003+NJCo Rd 673+10003'
-74.0284,40.6174,0,1,'NY92nd St10003+NYGelston Ave+10003'
-74.0284,40.6228,0,1,'NY4th Ave10003+NY86th St+10003'
-74.0282,40.6192,0,1,'NY5th Ave10003+NY90th St+10003'
-74.0281,40.6368,0,1,'NYMadeline Ct10003'
-74.0281,40.6308,0,1,'NY76th St10003+NY3rd Ave+10003'
-74.0280,40.6381,0,1,'NYRidge Blvd10003+NYSenator St+10003'
-74.0280,40.6237,0,1,'NY85th St10003|NY85th St10003+NY4th Ave+10003'
-74.0275,40.6322,0,2,'NY74th St10003+NY3rd Ave+10003'
-74.0273,40.6187,0,1,'NYGelston Ave10003+NY90th St+10003'
-74.0266,40.6165,0,2,'NY92nd St10003+NYGatling Pl+10003|NYGatling Pl10003'
-74.0266,40.6272,0,1,'NY4th Ave10003+NY80th St+10003'
-74.0262,40.6215,1,1,'NY5th Ave10003+NY86th St+10003'
-74.0260,40.7631,1,0,'NJHackensack Plank Rd10003|NJHackensack Plank Rd10003+NJHackensack Plank Rd+10003|NJHackensack Plank Rd10003+NJHackensack Ave+10003|NJHackensack Ave10003'
-74.0260,40.6286,0,1,'NY78th St10003+NY4th Ave+10003'
-74.0257,40.6294,0,1,'NY4th Ave10003+NY77th St+10003'
-74.0257,40.7747,1,0,'NJNew York Ave10003+NJ38th St+10003'
-74.0254,40.6210,0,1,'NYGelston Ave10003|NYGelston Ave10003+NY86th St+10003'
-74.0251,40.6308,0,1,'NY75th St10003+NY4th Ave+10003|NYBay Ridge Pkwy10003+NY4th Ave+10003'
-74.0246,40.7632,0,1,'NJKennedy Blvd E10003+NJLincoln Tunnel Helix+10003|NJKennedy Blvd E10003+NJI 495+10003'
-74.0245,40.6383,1,0,'NYShore Pkwy10003+NY3rd Ave+10003'
-74.0245,40.6204,0,1,'NYFort Hamilton Pkwy10003+NY86th St+10003'
-74.0243,40.7690,1,0,'NJPleasant Ave10003+NJI 495+10003'
-74.0239,40.6337,0,1,'NYOvington Ave10003+NY4th Ave+10003'
-74.0237,40.6210,0,1,'NY85th St10003+NYFort Hamilton Pkwy+10003'
