lon,lat,pickupcnt,dropoffcnt,roadname
-74.2757,40.7316,0,1,'NJDurand Rd10003+NJMaplewood Ave+10003'
-74.2323,40.5169,0,1,'NYMurray St10003|NYMurray St10003+NYAmboy Rd+10003'
-74.2256,40.5700,1,0,'NJUnion St10003|NJUnion St10003+NJPershing Ave+10003'
-74.2127,40.6997,0,1,'NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002'
-74.2036,40.7942,0,1,'NJWindsor Pl10003+NJAppleton Rd+10003|NJAppleton Rd10003'
-74.2016,40.6741,0,1,'NJFairmount Ave10003+NJMeadow St+10003'
-74.1998,40.8139,0,1,'NJOxford St10003|NJOxford St10003+NJRidgewood Ave+10003'
-74.1888,40.5875,0,1,'NYBeresford Ave10003'
-74.1868,40.6732,1,0,'NJNorth Ave E10003+NJState Rte 81+10003'
-74.1859,40.6696,0,1,'NJSullivan Rd10003'
-74.1832,40.6927,0,2,'NJNewark International Airport St10003'
-74.1827,40.6881,0,1,'NJExpress Rd10003'
-74.1827,40.6946,0,1,'NJRadar Rd10003'
-74.1806,40.6883,0,1,'NJExpress Rd10003'
-74.1796,40.7515,1,0,'NJClifton Ave10003+NJ7th Ave+10003|NJ7th Ave10003'
-74.1784,40.7081,0,1,'NJUS Hwy 2210002|NJUS Hwy 2210002+NJUS Hwy 22+10002'
-74.1775,40.6910,0,4,'NJTerminal B10003'
-74.1725,40.7673,0,1,'NJAbington Ave E10003+NJRidge St+10003'
-74.1718,40.7275,0,1,'NJMcCarter Hwy10002+NJE Kinney St+10002|NJE Kinney St10003+NJState Rte 21+10003'
-74.1697,40.7311,4,3,'NJGreen St10003+NJColumbia St+10003'
-74.1682,40.6144,0,1,'NYLander Ave10003+NYHirsch Ln+10003|NYHirsch Ln10003'
-74.1676,40.5949,0,1,'NYMulberry Ave10003+NYSleepy Hollow Rd+10003|NYSleepy Hollow Rd10003'
-74.1670,40.5371,0,1,'NYArden Ave10003+NYSycamore St+10003'
-74.1662,40.6359,0,1,'NYSouth Ave10003+NYArlington Pl+10003'
-74.1656,40.7166,0,1,'NJAdams St10003'
-74.1638,40.5469,0,1,'NYMaria Ln10003'
-74.1619,40.6110,0,1,'NYJardine Ave10003+NYRenee Pl+10003|NYRenee Pl10003'
-74.1617,40.5927,0,1,'NYTravis Ave10003+NYSteinway Ave+10003'
-74.1606,40.7098,1,2,'NJUS Hwy 910002+NJI 78+10002|NJUS Hwy 2210002|NJI 7810001+NJUS Hwy 1+10001'
-74.1605,40.7079,0,1,'NJPort St10003'
-74.1604,40.6126,0,1,'NYLeggett Pl10003|NYLeggett Pl10003+NYHillman Ave+10003'
-74.1602,40.7232,1,1,'NJVan Buren St10003+NJE Kinney St+10003|NJE Kinney St10003'
-74.1598,40.6081,0,1,'NYGary Ct10003+NYLeona St+10003|NYLeona St10003'
-74.1589,40.6095,0,1,'NYMorani St10003+NYJennifer Pl+10003|NYJennifer Pl10003'
-74.1573,40.8883,1,0,'NJ6th Ave10003+NJW 1st St+10003'
-74.1571,40.8165,0,1,'NJPark Dr10003+NJPark Way+10003|NJPark Way10003'
-74.1550,40.5803,0,1,'NYPierpont Pl10003+NYBelmar Dr E+10003|NYBelmar Dr E10003'
-74.1550,40.7608,0,1,'NJBergen Ave10003+NJBrighton Ave+10003'
-74.1550,40.7085,0,1,'NJI 7810001'
-74.1537,40.9118,0,1,'NJE 22nd St10003+NJ18th Ave+10003'
-74.1470,40.9641,0,1,'NJ11th Ave10003|NJ11th Ave10003+NJVan Winkle Ave+10003'
-74.1463,40.7218,0,1,'NJNiagara St10003+NJParis St+10003'
-74.1422,40.6276,0,1,'NYSeymour Ave10003|NYSeymour Ave10003+NYPort Richmond Ave+10003'
-74.1400,40.8711,0,1,'NJWilson St10003|NJWilson St10003+NJSylvan Ave+10003'
-74.1399,40.8719,0,1,'NJ1st St10003+NJHadley Ave+10003'
-74.1321,40.6083,0,1,'NYStaten Island Pkwy10001+NYBradley Ave+10001|NYBradley Ave10003+NYI 278+10003'
-74.1314,40.8087,0,1,'NJNew St10003|NJNew St10003+NJProspect Pl+10003'
-74.1304,40.8770,0,1,'NJSears Pl10003+NJVan Cleve Ave+10003|NJVan Cleve Ave10003'
-74.1293,40.8584,0,1,'NJGregory Ave10003+NJMeade Ave+10003|NJMeade Ave10003'
-74.1292,40.6294,0,1,'NYHolbernt Ct10003'
-74.1216,40.5613,0,1,'NYClawson St10003+NYGuyon Ave+10003'
-74.1174,40.6101,0,1,'NYTodt Hill Rd10003|NYTodt Hill Rd10003+NYLortel Ave+10003'
-74.1157,40.5710,0,1,'NY10th St10003+NYRoss Ave+10003|NYRoss Ave10003'
