lon,lat,pickupcnt,dropoffcnt,roadname
-74.3295,40.6867,1,1,'NJBecker Rd10003'
-74.3292,40.7970,1,0,'NJFawn Dr10003'
-74.3287,40.5565,0,2,'NJWall St10003'
-74.3282,40.7230,1,0,'NJOak Hill Rd10003'
-74.3277,40.9211,1,1,'NJForest Hill Rd10003'
-74.3277,40.7213,0,1,'NJCanterbury Ln10003'
-74.3275,40.5571,0,2,'NJFord Ave10003'
-74.3265,40.7060,0,1,'NJBaltusrol Way10003'
-74.3263,40.7174,0,1,'NJFarley Pl10003'
-74.3258,40.7391,0,1,'NJStewart Rd10003'
-74.3241,40.5570,0,1,'NJMercer St10003|NJMercer St10003+NJWall St+10003'
-74.3236,40.6752,1,0,'NJCounty Park Dr10003'
-74.3235,40.4638,0,1,'NJSwider Dr10003'
-74.3231,40.5672,1,2,'NJGill Ln10003+NJBarbara Ct+10003|NJBarbara Ct10003'
-74.3229,40.6853,0,1,'NJUS Hwy 2210002'
-74.3223,40.6817,0,1,'NJDiamond Rd10003'
-74.3215,40.7238,0,1,'NJShort Hills Ave10003+NJOverlook Ter+10003|NJOverlook Ter10003'
-74.3205,40.5405,0,1,'NJFanning St10003'
-74.3197,40.5322,0,1,'NJFay St10003+NJJefferson Ave+10003|NJJefferson Ave10003'
-74.3187,40.7585,1,1,'NJLawrence Dr10003'
-74.3176,40.6418,0,1,'NJFairfield Ave10003+NJRoger Ave+10003'
-74.3174,40.6833,0,1,'NJSilver Ct10003'
-74.3173,40.6863,0,1,'NJUS Hwy 2210002+NJFadem Rd+10002|NJFadem Rd10003'
-74.3170,40.9163,1,0,'NJRobertson Way10003|NJRobertson Way10003+NJRobertson Way+10003'
-74.3169,40.8229,0,1,'NJLenape Dr10003|NJLenape Dr10003+NJLenape Dr+10003'
-74.3133,40.7459,0,1,'NJRte 52710003+NJGreat Hills Rd+10003|NJGreat Hills Rd10003'
-74.3126,40.5584,1,2,'NJWoodbridge Commons Way10003'
-74.3114,40.4558,1,1,'NJPinetree Dr10003+NJButtonwood Dr+10003|NJButtonwood Dr10003'
-74.3105,40.5719,0,1,'NJWoodruff St10003+NJElizabeth Ave+10003'
-74.3101,40.8151,0,1,'NJAdp Blvd10003'
-74.3093,40.4540,1,0,'NJLehigh Rd10003'
-74.3086,40.5571,0,1,'NJGill Ln10003|NJGill Ln10003+NJWoodbridge Center Dr+10003|NJWoodbridge Center Dr10003'
-74.3076,40.8697,0,1,'NJFairfield Rd10003|NJEssex County 61510003'
-74.3062,40.4735,1,1,'NJTaft Pl10003'
-74.3054,40.5781,0,1,'NJChain O Hills Rd10003+NJSullivan Ave+10003|NJSullivan Ave10003'
-74.3043,40.8164,0,1,'NJAdp Blvd10003+NJChoctaw Way+10003|NJChoctaw Way10003'
-74.3038,40.5334,0,1,'NJJensen Ave10003'
-74.3038,40.8921,0,1,'NJOld Country Rd10003'
-74.3030,40.7218,0,1,'NJMountainview Rd10003+NJParkview Dr+10003|NJParkview Dr10003'
-74.3027,40.4114,1,1,'NJStratford Apartments10003|NJStratford Apartments10003+NJArcade Ln+10003|NJArcade Ln10003'
-74.3026,40.6976,0,3,'NJLiberty Ave10003|NJLiberty Ave10003+NJSpringfield Rd+10003|NJSpringfield Rd10003'
-74.3020,40.7648,0,1,'NJOld Short Hills Rd10003+NJE Cedar St+10003|NJE Cedar St10003'
-74.3013,40.6372,1,1,'NJOmaha Dr10003|NJOmaha Dr10003+NJLexington Ave+10003'
-74.3011,40.4334,0,1,'NJWilliam Way10003|NJWilliam Way10003+NJSteven Dr+10003|NJSteven Dr10003'
-74.2984,40.7301,0,1,'NJCrest Dr10003|NJCrest Dr10003+NJCrest Dr+10003'
-74.2973,40.4106,1,1,'NJColonial Dr10003|NJColonial Dr10003+NJColonial Rd+10003|NJColonial Rd10003'
-74.2968,40.5671,0,1,'NJUS Hwy 110002|NJUS Hwy 110002+NJUS Hwy 9+10002|NJUS Hwy 110002+NJUS Hwy 1+10002|NJUS Hwy 910002|NJUS Hwy 910002+NJUS Hwy 1+10002|NJUS Hwy 910002+NJUS Hwy 9+10002'
-74.2967,40.5627,0,1,'NJMichael Ct10009|NJMichael Ct10009+NJUS Hwy 9+10009'
-74.2955,40.4366,1,0,'NJJoseph Ct10003'
-74.2934,40.7673,0,1,'NJKorwel Cir10003|NJKorwel Cir10003+NJAspen Rd+10003|NJAspen Rd10003'
-74.2932,40.5925,0,1,'NJProspect Ln10003'
-74.2927,40.7665,0,4,'NJNorthfield Ave10003'
-74.2921,40.7829,0,1,'NJPeiker Way10003'
-74.2912,40.7065,1,0,'NJLeslie St10003|NJLeslie St10003+NJCreger Ave+10003|NJLeslie St10003+NJHawthorne Ave+10003|NJCreger Ave10003|NJCreger Ave10003+NJHawthorne Ave+10003|NJHawthorne Ave10003'
-74.2892,40.8765,0,1,'NJJust Rd10003+NJAudrey Pl+10003|NJAudrey Pl10003'
-74.2876,40.4072,1,0,'NJHamilton Ct10003'
-74.2861,40.6877,1,0,'NJFairway Dr10003+NJRedwood Pl+10003|NJRedwood Pl10003'
-74.2860,40.6133,0,1,'NJMillers Ln10003|NJMillers Ln10003+NJState Rte 27+10003|NJMillers Ln10003+NJSaint Georges Ave+10003'
-74.2858,40.4729,0,1,'NJState Rte 3510002+NJPortia St+10002|NJPortia St10003'
-74.2857,40.7701,0,1,'NJPleasant Valley Way10003+NJNorthfield Rd Rmp+10003|NJNorthfield Rd Rmp10003'
-74.2854,40.4765,1,0,'NJCatherine St10003+NJS Feltus St+10003'
-74.2850,40.4834,0,1,'NJ2nd St10003+NJStevens Ave N+10003'
-74.2847,40.7958,0,1,'NJCrestmont Rd10003+NJWestover Ter+10003|NJWestover Ter10003'
-74.2833,40.7163,1,0,'NJMarion St10003+NJBrown Ave+10003|NJBrown Ave10003'
-74.2829,40.7739,1,0,'NJPleasant Valley Way10003+NJCedar Ave+10003|NJCedar Ave10003'
-74.2823,40.7220,0,1,'NJMillburn Ave10003+NJValley St+10003'
-74.2823,40.6917,0,1,'NJUS Hwy 2210002+NJCaldwell Ave+10002|NJCaldwell Ave10003'
-74.2820,40.6697,1,0,'NJMichigan Ave10003+NJWoodland Ave+10003|NJWoodland Ave10003'
-74.2818,40.4861,0,1,'NJAdamecs Way10003'
-74.2815,40.6160,0,1,'NJLudlow St10003|NJLudlow St10003+NJUnion St+10003'
-74.2814,40.6893,0,1,'NJFairway Dr10003+NJHenry St+10003|NJHenry St10003'
-74.2791,40.4064,0,1,'NJBennett Rd10003'
-74.2787,40.6225,0,1,'NJState Rte 2710003|NJState Rte 2710003+NJApgar Ter+10003|NJState Rte 2710003+NJState Rte 27+10003|NJState Rte 2710003+NJSaint Georges Ave+10003|NJApgar Ter10003|NJApgar Ter10003+NJState Rte 27+10003|NJApgar Ter10003+NJSaint Georges Ave+10003|NJState Rte 2710002|NJSaint Georges Ave10002'
-74.2780,40.7290,0,1,'NJSalter Pl10003|NJSalter Pl10003+NJMaple Ave+10003'
-74.2780,40.7028,0,1,'NJFrancyne Way10003'
-74.2775,40.7849,1,1,'NJKessler Dr10003'
-74.2773,40.5503,0,1,'NJAugustus St10003|NJAugustus St10003+NJAlbert St+10003'
-74.2771,40.5487,0,1,'NJRussell St10003|NJRussell St10003+NJMilton Ave+10003'
-74.2763,40.7865,0,1,'NJKessler Dr10003'
-74.2753,40.6251,1,0,'NJState Rte 2710002+NJStacy Pl+10002|NJStacy Pl10003|NJStacy Pl10003+NJSaint Georges Ave+10003'
-74.2751,40.5279,0,1,'NJGrove St10003|NJGrove St10003+NJPfeiffer Blvd+10003|NJPfeiffer Blvd10003'
-74.2747,40.4081,1,0,'NJWillow Ridge Ct10003'
-74.2745,40.7200,0,1,'NJBroadview Ave10003|NJBroadview Ave10003+NJState Rte 124+10003|NJBroadview Ave10003+NJSpringfield Ave+10003'
-74.2738,40.6973,0,1,'NJState Rte 8210002+NJUnion Ter+10002|NJMorris Ave10002+NJUnion Ter+10002|NJUnion Ter10003'
-74.2731,40.7422,0,1,'NJRidgewood Rd10003|NJRidgewood Rd10003+NJS Ridgewood Rd+10003|NJRidgewood Rd10003+NJRidgewood Rd S+10003|NJS Ridgewood Rd10003|NJRidgewood Rd S10003'
-74.2730,40.5617,0,1,'NJAlden St10003|NJAlden St10003+NJCo Rd 604+10003|NJAlden St10003+NJPort Reading Ave+10003'
-74.2728,40.8964,0,1,'NJRiveredge Dr10003'
-74.2718,40.5534,0,1,'NJRector Ave10003|NJRector St10003'
