lon,lat,pickupcnt,dropoffcnt,roadname
-74.3287,40.5565,0,1,'NJWall St10003'
-74.3126,40.5584,0,1,'NJWoodbridge Commons Way10003'
-74.2771,40.5487,0,1,'NJRussell St10003|NJRussell St10003+NJMilton Ave+10003'
-74.2354,40.5695,2,0,'NJKey Ct10003|NJKey Ct10003+NJKey Ct+10003'
-74.2310,40.5720,1,0,'NJHolly St10003+NJLeber Ave+10003|NJHolly St10003+NJSE Grant Ave+10003|NJLeber Ave10003|NJLeber Ave10003+NJSE Grant Ave+10003|NJSE Grant Ave10003'
-74.2307,40.5707,0,1,'NJSE Grant Ave10003|NJSE Grant Ave10003+NJCo Rd 604+10003|NJSE Grant Ave10003+NJPort Reading Ave+10003'
-74.2240,40.5738,1,0,'NJAtlantic St10003+NJPulaski Ave+10003'
-74.2216,40.7626,0,1,'NJHarvard St10003|NJHarvard St10003+NJEvergreen Pl+10003'
-74.2206,40.9649,2,2,'NJChimney Ln10003'
-74.2198,40.5715,1,0,'NJPeter J Sica Industrial Hwy10003'
-74.2142,40.6527,1,0,'NJGarden St10003|NJGarden St10003+NJMaple Ave+10003|NJUS Hwy 910002+NJMaple Ave+10002|NJUS Hwy 110002+NJMaple Ave+10002|NJMaple Ave10003'
-74.2105,40.6657,0,1,'NJMadison Ave10003+NJLafayette St+10003|NJLafayette St10003'
-74.2099,40.6671,1,0,'NJMadison Ave10003+NJE Grand St+10003'
-74.2081,40.6607,0,1,'NJUS Hwy 910002+NJElizabeth Ave+10002|NJUS Hwy 110002+NJElizabeth Ave+10002'
-74.1990,40.6751,0,1,'NJWoodruff Ln10003|NJWoodruff Ln10003+NJUS Hwy 9+10003|NJWoodruff Ln10003+NJUS Hwy 1+10003|NJWoodruff Ln10003+NJSpring St+10003'
-74.1984,40.6760,0,1,'NJUS Hwy 910002+NJMeadow St+10002|NJUS Hwy 110002+NJMeadow St+10002|NJSpring St10002+NJMeadow St+10002'
-74.1954,40.5392,0,1,'NYRamona Ave10003+NYHuguenot Ave+10003'
-74.1925,40.6027,0,1,'NYIndustry Rd10003|NYIndustry Rd10003+NYIndustry Rd+10003|NYIndustry Rd10003+NYSouth Ave+10003|NYSouth Ave10003'
-74.1876,40.6876,0,1,'NJBrewster Rd10003'
