lon,lat,pickupcnt,dropoffcnt,roadname
-74.3297,40.6558,0,1,'NJMaple St10003'
-74.3295,40.6867,0,2,'NJBecker Rd10003'
-74.3295,40.7215,0,1,'NJWellington Ave10003'
-74.3292,40.5488,1,0,'NJWainwright St10003'
-74.3292,40.5517,0,1,'NJMcGuire St10003'
-74.3291,40.5526,1,0,'NJIsabelle St10003'
-74.3287,40.5565,0,1,'NJWall St10003'
-74.3285,40.5381,1,0,'NJMerker Dr10003|NJMerker Dr10003+NJMerker Dr+10003'
-74.3285,40.5471,0,1,'NJWainwright St10003'
-74.3275,40.5571,0,2,'NJFord Ave10003'
-74.3265,40.5736,2,1,'NJCorreja Ave10003'
-74.3265,40.5715,0,1,'NJBird Ave10003'
-74.3241,40.5570,0,1,'NJMercer St10003|NJMercer St10003+NJWall St+10003'
-74.3241,40.7555,0,1,'NJClive Hills Rd10003'
-74.3231,40.5672,0,1,'NJGill Ln10003+NJBarbara Ct+10003|NJBarbara Ct10003'
-74.3206,40.7014,0,1,'NJKew Dr10003'
-74.3197,40.5541,1,0,'NJJanci Ct10003'
-74.3176,40.8718,0,1,'NJCommerce Rd10003'
-74.3170,40.9163,0,1,'NJRobertson Way10003|NJRobertson Way10003+NJRobertson Way+10003'
-74.3165,40.7651,1,0,'NJCanoe Brook Dr10003|NJCanoe Brook Dr10003+NJChestnut St+10003|NJChestnut St10003'
-74.3161,40.7506,0,1,'NJGreat Hills Ter10003+NJTall Pine Ln+10003|NJTall Pine Ln10003'
-74.3159,40.8128,2,2,'NJLocust Ave10003'
-74.3157,40.8075,1,0,'NJBryant Dr10003+NJMadison Ct+10003|NJMadison Ct10003'
-74.3137,40.7222,0,1,'NJMidland Rd10003|NJMidland Rd10003+NJMillburn Ave+10003|NJMidland Rd10003+NJRte 527+10003'
-74.3136,40.6327,1,1,'NJTerminal Ave10003'
-74.3105,40.5719,2,1,'NJWoodruff St10003+NJElizabeth Ave+10003'
-74.3077,40.5899,1,1,'NJWater St10003+NJClaremont Ave+10003|NJClaremont Ave10003'
-74.3066,40.8105,0,1,'NJPalmer Dr10003'
-74.3057,40.6996,0,1,'NJRidge Dr10003'
-74.3057,40.6544,0,1,'NJSouth Ave W10003|NJSouth Ave W10003+NJS Union Ave+10003|NJSouth Ave W10003+NJSouth Ave E+10003|NJS Union Ave10003+NJSouth Ave E+10003|NJSouth Ave E10003'
-74.3054,40.6948,0,1,'NJMilltown Ct10003'
-74.3047,40.9689,0,1,'NJSylvan Ct10003'
-74.3041,40.8099,1,0,'NJPalmer Dr10003'
-74.3035,40.7252,0,1,'NJHolmes St10003'
-74.3030,40.5489,0,1,'NJHowell Ave10009'
-74.3030,40.8177,0,1,'NJAdp Blvd10003|NJAdp Blvd10003+NJBecker Farm Rd+10003'
-74.3027,40.8153,0,1,'NJRte 52710003+NJChoctaw Way+10003|NJChoctaw Way10003|NJChoctaw Way10003+NJLivingston Ave+10003'
-74.3026,40.6976,0,1,'NJLiberty Ave10003|NJLiberty Ave10003+NJSpringfield Rd+10003|NJSpringfield Rd10003'
-74.3020,40.7648,0,2,'NJOld Short Hills Rd10003+NJE Cedar St+10003|NJE Cedar St10003'
-74.3010,40.8165,1,0,'NJPru Dr10003|NJPru Dr10003+NJRte 527+10003|NJPru Dr10003+NJBecker Farm Rd+10003|NJPru Dr10003+NJLivingston Ave+10003|NJRte 52710003+NJBecker Farm Rd+10003|NJBecker Farm Rd10003|NJBecker Farm Rd10003+NJLivingston Ave+10003'
-74.3008,40.4833,0,1,'NJGorczyca Pl10003|NJGorczyca Pl10003+NJGorczyca Pl+10003'
-74.3006,40.6265,0,1,'NJValley Rd10003+NJWalnut Ave+10003|NJWalnut Ave10003|NJWalnut Ave10003+NJBroadway+10003|NJBroadway10003'
-74.3005,40.5500,0,1,'NJPlaza Dr10003'
-74.3003,40.7234,1,0,'NJUndercliff Rd10003|NJUndercliff Rd10003+NJUndercliff Rd+10003'
-74.3001,40.7578,0,1,'NJHansen Rd S10003+NJGarden Dr+10003|NJGarden Dr10003'
-74.2998,40.7703,1,0,'NJHerbert Ter10003|NJHerbert Ter10003+NJE Northfield Rd+10003'
-74.2992,40.7674,1,0,'NJDogwood Rd10003+NJDogwood Dr+10003|NJDogwood Dr10003'
-74.2978,40.8278,1,0,'NJSteel Ct10003'
-74.2970,40.8918,0,1,'NJTalbot Dr10003'
-74.2958,40.8179,0,1,'NJMonroe Ave10003'
-74.2937,40.5369,1,1,'NJCoddington Ave10003'
-74.2927,40.7665,0,1,'NJNorthfield Ave10003'
-74.2920,40.8787,0,1,'NJFairfield Rd10003+NJJust Rd+10003|NJJust Rd10003'
-74.2917,40.6720,0,1,'NJOrange Ave10003+NJDavis St+10003|NJOrange Ave10003+NJQuinton Ave+10003|NJDavis St10003|NJDavis St10003+NJQuinton Ave+10003|NJQuinton Ave10003'
-74.2914,40.8152,0,1,'NJFreeman St10003'
-74.2911,40.7782,0,1,'NJCedar Ave10003+NJKelly Dr+10003|NJKelly Dr10003|NJKelly Dr10003+NJCedar Ln+10003'
-74.2902,40.5996,0,1,'NJState Rte 2710002+NJW Inman Ave+10002'
-74.2878,40.8135,1,0,'NJSunset Ln10003|NJSunset Ln10003+NJRidge Rd+10003'
-74.2872,40.6585,1,0,'NJGarden State Pkwy10002+NJNorth Ave E+10002'
-74.2872,40.7004,0,1,'NJRay Ave10003|NJRay Ave10003+NJSteuben St+10003'
-74.2859,40.6611,0,1,'NJOsborne Pl10003'
-74.2855,40.5795,0,2,'NJLord St10003+NJUS Hwy 9+10003|NJLord St10003+NJUS Hwy 1+10003'
-74.2840,40.6712,1,0,'NJTrenton Ave10003+NJBloomingdale Ave+10003|NJBloomingdale Ave10003'
-74.2831,40.8606,0,1,'NJDougal Pl10003'
-74.2809,40.6470,0,1,'NJFurber Ave10003'
-74.2793,40.6288,0,1,'NJDurham Dr10003|NJDurham Dr10003+NJRose Ter+10003'
-74.2780,40.8804,0,1,'NJNew Dutch Ln10003+NJEldridge Rd+10003|NJEldridge Rd10003'
-74.2752,40.7425,0,1,'NJWashington Park10003|NJWashington Park10003+NJWashington Park+10003'
-74.2750,40.9625,0,1,'NJMiriam Pl10003|NJMiriam Pl10003+NJFieldstone Pl+10003'
-74.2714,40.8944,0,1,'NJCleary Pl10003'
-74.2712,40.7322,0,1,'NJOakland Rd10003+NJValley St+10003'
-74.2702,40.6044,1,0,'NJLenox Pl10003'
-74.2701,40.7403,0,1,'NJWalton Rd10003+NJMaplewood Ave+10003|NJMaplewood Ave10003'
-74.2700,40.7765,0,1,'NJEdgewood Ave10003|NJEdgewood Ave10003+NJLessing Rd+10003|NJLessing Rd10003'
-74.2693,40.8779,0,1,'NJSherwood Ln10003'
-74.2676,40.7111,0,1,'NJHalsey St10003+NJLeonard Ter+10003|NJLeonard Ter10003'
-74.2676,40.7527,1,0,'NJN Wyoming Ave10003+NJBeechspring Rd+10003|NJBeechspring Rd10003|NJBeechspring Rd10003+NJRte 577+10003'
-74.2675,40.7965,0,1,'NJPleasant Valley Way10003+NJMount Vernon Ave+10003|NJMount Vernon Ave10003'
-74.2665,40.7978,0,1,'NJPleasant Valley Way10003+NJI 280+10003'
-74.2663,40.6664,0,1,'NJPark Pl10003|NJPark Pl10003+NJW Webster Ave+10003'
-74.2658,40.7378,0,1,'NJValley St10003+NJHixon Pl+10003'
