lon,lat,pickupcnt,dropoffcnt,roadname
-74.3295,40.5313,0,1,'NJNorman St10003'
-74.2992,40.7674,0,1,'NJDogwood Rd10003+NJDogwood Dr+10003|NJDogwood Dr10003'
-74.2966,40.4761,0,1,'NJRaritan Ave10003'
-74.2667,40.7643,1,0,'NJUndercliff Ter S10003'
-74.2625,40.7993,1,1,'NJFlynn Ter10003|NJFlynn Ter10003+NJCarteret St+10003'
-74.2603,40.7602,0,1,'NJOverlook Ave10003|NJOverlook Ave10003+NJOverlook Ave+10003|NJOverlook Ave10003+NJLuddington Rd+10003|NJOverlook Ave10003+NJMelrose Pl+10003|NJMelrose Pl10003|NJMelrose Pl10003+NJLuddington Rd+10003'
-74.2563,40.7882,1,0,'NJProspect Ave10003|NJProspect Ave10003+NJMount Pleasant Ave+10003|NJMount Pleasant Ave10002+NJRte 577+10002|NJRte 57710003'
-74.2557,40.8930,1,0,'NJUS Rte 4610002+NJState Rte 23+10002'
-74.2457,40.8152,0,1,'NJDeerfield Dr10003'
-74.2435,40.4991,0,1,'NYMain St10003+NYBillop Ave+10003'
-74.2360,40.5974,0,1,'NJDelaware Ave10003'
-74.2358,40.5338,0,1,'NYGaton St10003|NYGaton St10003+NYGoethals Ave+10003|NYGaton St10003+NYEnglewood Ave+10003|NYGoethals Ave10003|NYGoethals Ave10003+NYEnglewood Ave+10003'
-74.2336,40.6215,0,1,'NJE 21st St10003|NJE 21st St10003+NJClinton St+10003|NJClinton St10003'
-74.2328,40.6130,1,0,'NJParkway Ave10003+NJBuchanan St+10003|NJBuchanan St10003'
-74.2170,40.7676,1,1,'NJProspect St10003+NJWilliam St+10003'
-74.2145,40.7372,0,1,'NJGrove Ter10003|NJGrove Ter10003+NJGrove St+10003|NJGrove Ter10003+NJRte 509+10003'
-74.2050,40.6655,0,1,'NJUS Hwy 910002+NJE Grand St+10002|NJUS Hwy 110002+NJE Grand St+10002|NJSpring St10002+NJE Grand St+10002'
-74.2038,40.6355,0,1,'NJCarringer Rd10003'
-74.1982,40.8470,0,1,'NJGlenwood Rd10003|NJGlenwood Rd10003+NJPark St+10003'
-74.1955,40.6785,0,1,'NJMeadow St10003'
-74.1934,40.5491,0,1,'NYGreen Valley Rd10003'
-74.1933,40.6872,0,2,'NJSpring St10003'
-74.1925,40.8268,0,1,'NJBurnett St10003+NJOakwood Ave+10003|NJOakwood Ave10003'
-74.1922,40.5385,0,1,'NYIonia Ave10003+NYNippon Ave+10003'
-74.1870,40.7021,0,4,'NJHaynes Ave10003'
-74.1866,40.6997,0,2,'NJUS Hwy 910002+NJStation Rd+10002|NJUS Hwy 110002+NJStation Rd+10002|NJStation Rd10003'
-74.1864,40.6931,1,0,'NJTower Rd10003'
-74.1859,40.6696,1,0,'NJSullivan Rd10003'
-74.1842,40.6893,0,1,'NJTerminal A10003'
-74.1840,40.6913,0,1,'NJTower Rd10003|NJTower Rd10003+NJExpress Rd+10003|NJExpress Rd10003|NJExpress Rd10003+NJExpress Rd+10003'
-74.1832,40.6927,1,6,'NJNewark International Airport St10003'
-74.1827,40.6881,0,2,'NJExpress Rd10003'
-74.1827,40.6946,0,7,'NJRadar Rd10003'
-74.1823,40.5566,0,1,'NYErika Loop10003'
-74.1817,40.5282,0,1,'NYArbutus Ave10003+NYGentile Ct+10003|NYGentile Ct10003'
-74.1803,40.5600,0,1,'NYOak Ln10003|NYOak Ln10003+NYBerry Ave W+10003|NYOak Ln10003+NYWoodrow Rd+10003|NYBerry Ave W10003'
-74.1787,40.6883,0,4,'NJRadar Rd10003'
-74.1785,40.6127,0,1,'NYLois Ln10003|NYLois Ln10003+NYMerrill Ave+10003|NYMerrill Ave10003'
-74.1784,40.7086,0,2,'NJUS Hwy 110002'
-74.1775,40.6910,1,41,'NJTerminal B10003'
-74.1769,40.6908,0,14,'NJTerminal B10003'
-74.1767,40.8929,0,1,'NJSilleck St10003|NJSilleck St10003+NJSilleck St+10003'
-74.1765,40.5445,0,1,'NYAnnadale Rd10003+NYArden Ave+10003'
-74.1758,40.8544,0,1,'NJAllwood Rd10003+NJGarden State Pkwy+10003|NJPassaic County 60210003+NJGarden State Pkwy+10003'
-74.1756,40.6122,0,1,'NYSouth Ave10003+NYLois Ln+10003|NYSouth Ave10003+NYMerrill Ave+10003|NYLois Ln10003|NYLois Ln10003+NYMerrill Ave+10003|NYMerrill Ave10003|NYMerrill Ave10003+NYMerrill Ave+10003'
-74.1735,40.7114,0,1,'NJI 7810001'
-74.1716,40.8908,1,0,'NJNelson St10003+NJLambert Ave+10003'
-74.1675,40.6117,0,1,'NYCommerce St10003+NYNadal Pl+10003|NYNadal Pl10003'
-74.1674,40.5516,0,1,'NYGabriele Ct10003'
-74.1671,40.5573,0,1,'NYBarlow Ave10003+NYEltingville Blvd+10003'
-74.1662,40.6359,0,1,'NYSouth Ave10003+NYArlington Pl+10003'
-74.1656,40.7166,0,2,'NJAdams St10003'
-74.1653,40.6202,0,1,'NYFarragut Ave10003|NYFarragut Ave10003+NYGoethals Rd N+10003'
-74.1645,40.7338,0,1,'NJFerry St10003'
-74.1640,40.7354,1,0,'NJRaymond Plz W10003|NJRaymond Plz W10003+NJRaymond Blvd+10003'
-74.1627,40.8200,0,1,'NJProspect St10003|NJProspect St10003+NJChestnut St+10003|NJChestnut St10003'
-74.1622,40.6053,0,1,'NYRichmond Ave10003+NYCroft Pl+10003|NYCroft Pl10003'
-74.1620,40.7437,0,1,'NJS 1st St10003+NJSussex St+10003|NJSussex St10003'
-74.1619,40.5953,0,1,'NYRichmond Ave10003+NYRockland Ave+10003|NYRockland Ave10003'
-74.1617,40.5807,0,1,'NYDevon Loop10003'
-74.1606,40.7098,1,0,'NJUS Hwy 910002+NJI 78+10002|NJUS Hwy 2210002|NJI 7810001+NJUS Hwy 1+10001'
-74.1603,40.5890,0,1,'NYShiloh St10003|NYShiloh St10003+NYMerrymount St+10003'
-74.1594,40.6096,0,1,'NYMorani St10003+NYSaybrook St+10003|NYSaybrook St10003'
-74.1594,40.6151,1,1,'NYLamberts Ln10003+NYAstor Ave+10003|NYAstor Ave10003'
-74.1588,40.7326,0,1,'NJJefferson St10003|NJJefferson St10003+NJMarket St+10003'
-74.1581,40.6109,0,2,'NYJennifer Pl10003|NYJennifer Pl10003+NYJennifer Pl+10003'
-74.1574,40.7116,0,1,'NJFrontage Rd10003+NJUS Hwy 9+10003|NJFrontage Rd10003+NJUS Hwy 1+10003'
-74.1572,40.7109,0,1,'NJFrontage Rd10003'
-74.1571,40.7112,0,1,'NJOlympia Dr10003'
-74.1557,40.7402,0,1,'NJSomerset St10003|NJSomerset St10003+NJCo Rd 697+10003|NJSomerset St10003+NJFrank Rogers Blvd S+10003|NJSomerset St10003+NJFrank E Rodgers Blvd S+10003'
-74.1557,40.7102,0,1,'NJOlympia Dr10003'
-74.1519,40.8200,0,1,'NJHighfield Ln10003|NJHighfield Ln10003+NJPassaic Ave+10003'
-74.1513,40.6153,0,2,'NYCanterbury Ave10003|NYCanterbury Ave10003+NYCaswell Ave+10003'
-74.1509,40.6174,0,1,'NYCanterbury Ave10003|NYCanterbury Ave10003+NYWatchogue Rd+10003'
-74.1496,40.5684,0,1,'NYKnight Loop10003'
-74.1495,40.8707,0,1,'NJDemott Ave10003+NJHawthorne Ave+10003'
-74.1472,40.7807,0,1,'NJCo Rd 69910003+NJBayard Ave+10003|NJBayard Ave10003'
-74.1457,40.8420,0,1,'NJDwas Line Rd10003|NJDwas Line Rd10003+NJEdgewood Ave+10003|NJEdgewood Ave10003|NJEdgewood Ave10003+NJDwasline Rd+10003'
-74.1438,40.8132,0,1,'NJRoma St10003|NJRoma St10003+NJEllen St+10003|NJEllen St10003'
-74.1429,40.7877,1,0,'NJPershing Pl10003'
-74.1427,40.4498,1,0,'NJSeabreeze Way10003|NJSeabreeze Way10003+NJS Laurel Ave+10003|NJSeabreeze Way10003+NJLaurel Ave+10003|NJSeabreeze Way10003+NJCharles Ave+10003|NJS Laurel Ave10003+NJCharles Ave+10003|NJLaurel Ave10003+NJCharles Ave+10003|NJCharles Ave10003'
-74.1422,40.6311,0,1,'NYHooker Pl10003+NYNicholas Ave+10003|NYNicholas Ave10003'
-74.1386,40.6141,0,1,'NYHarvey Ave10003+NYMarble St+10003|NYMarble St10003'
-74.1372,40.6083,0,1,'NYWarwick Ave10003'
-74.1362,40.5687,0,1,'NYAndrews Ave10003+NYBarbara St+10003'
-74.1361,40.5504,0,1,'NYHylan Blvd10003+NYAinsworth Ave+10003|NYAinsworth Ave10003'
-74.1352,40.5702,0,1,'NYPinewood Ave10003+NYConnor Ave+10003|NYConnor Ave10003'
-74.1326,40.8249,0,1,'NJRiverwalk Way10003+NJPebble Brook Dr+10003|NJPebble Brook Dr10003'
-74.1303,40.6294,0,1,'NYJewett Ave10003+NYKramer Pl+10003|NYKramer Pl10003'
-74.1300,40.6264,0,1,'NYLlewellyn Pl10003+NYForest Ave+10003'
-74.1277,40.6020,0,1,'NYSuffolk Ave10003+NYVermont Ct+10003|NYVermont Ct10003'
-74.1262,40.8034,0,1,'NJ7th St10003+NJPark Pl+10003'
-74.1261,40.6215,0,2,'NYColorado St10003|NYColorado St10003+NYCollege Ave+10003'
-74.1260,40.6339,0,1,'NYClove Rd10003+NYCastleton Ave+10003'
-74.1239,40.6096,0,1,'NYGower St10003'
-74.1236,40.6203,0,1,'NYManor Rd10003+NYMerriman Ave+10003|NYMerriman Ave10003'
-74.1220,40.5773,0,1,'NYGeldner Ave10003+NYWalnut Pl+10003|NYWalnut Pl10003'
-74.1200,40.6064,0,1,'NYWestwood Ave10003+NYArea Pl+10003|NYArea Pl10003'
-74.1199,40.5617,0,1,'NYIsabella Ave10003+NYPendale St+10003'
-74.1177,40.6121,0,1,'NYHenning St10003|NYHenning St10003+NYWindsor Rd+10003'
-74.1168,40.6109,1,1,'NYStaten Island Pkwy10001+NYSlosson Ave+10001|NYI 27810001+NYSlosson Ave+10001'
-74.1166,40.6620,2,2,'NJAvenue E10003+NJE 22nd St+10003'
-74.1149,40.9211,0,1,'NJ13th Ave10003|NJ13th Ave10003+NJE 55th St+10003'
-74.1123,40.7356,0,1,'NJ2nd St10003|NJ2nd St10003+NJJacobus Ave+10003'
-74.1111,40.5721,0,1,'NYClawson St10003+NYJacques Ave+10003'
-74.1108,40.5914,0,1,'NYFairview Pl10003|NYFairview Pl10003+NYCromwell Cir+10003|NYCromwell Cir10003'
-74.1089,40.9664,0,1,'NJAmsterdam Ave10003'
-74.1087,40.5586,0,1,'NYFinley Ave10003'
-74.1080,40.5800,0,1,'NYColfax Ave10003|NYColfax Ave10003+NYS Railroad Ave+10003'
-74.1049,40.6798,0,1,'NJW 45th St10003|NJW 45th St10003+NJE 45th St+10003|NJW 45th St10003+NJBroadway+10003|NJE 45th St10003|NJE 45th St10003+NJBroadway+10003'
-74.1027,40.6309,0,1,'NYSharon Ave10003|NYSharon Ave10003+NYForest Ave+10003|NYSharon Ave10003+NYWalbrooke Ave+10003|NYWalbrooke Ave10003'
-74.1026,40.6061,0,1,'NYMohn Pl10003|NYMohn Pl10003+NYBeebe St+10003'
-74.1021,40.9667,0,1,'NJS Pleasant Ave10003|NJS Pleasant Ave10003+NJGrove St+10003'
-74.1015,40.5854,0,1,'NYSeaver Ave10003|NYSeaver Ave10003+NYJefferson St+10003'
-74.1006,40.8355,0,1,'NJHumboldt St10003+NJGrove St+10003'
-74.1005,40.6343,0,1,'NYHart Blvd10003'
-74.1000,40.5748,0,1,'NYPoultney St10003|NYPoultney St10003+NYLincoln Ave+10003'
-74.1000,40.6285,0,1,'NYHart Blvd10003|NYHart Blvd10003+NYRevere St+10003'
-74.0999,40.6129,0,1,'NYClove Rd10003+NYMartha St+10003|NYMartha St10003'
-74.0997,40.6087,0,1,'NYMichael Loop10003|NYMichael Loop10003+NYHewitt Ave+10003'
-74.0997,40.5802,0,1,'NYHylan Blvd10003+NYAdams Ave+10003'
-74.0997,40.6022,0,1,'NYMedford Rd10003|NYMedford Rd10003+NYForest Rd+10003'
-74.0995,40.6008,0,1,'NYFrancis Pl10003'
-74.0995,40.8301,0,1,'NJPark Ave10003+NJOrchard St+10003'
-74.0989,40.9694,0,1,'NJEastside Ave10003'
-74.0978,40.6032,0,1,'NYRidge Ave10003|NYRidge Ave10003+NYSpring St+10003'
-74.0961,40.8308,0,1,'NJHackensack St10003+NJMain St+10003|NJMain St10003'
-74.0947,40.5842,0,1,'NYHylan Blvd10003+NYNaughton Ave+10003'
-74.0937,40.5698,0,1,'NYBaden Pl10003+NYGreeley Ave+10003'
-74.0910,40.6086,0,1,'NYClove Rd10003+NYRichmond Rd+10003'
-74.0890,40.7186,0,1,'NJCo Rd 61110003+NJVirginia Ave+10003|NJVirginia Ave10003+NJMallory Ave+10003'
-74.0882,40.8843,0,1,'NJDell Glen Ave10003'
-74.0876,40.6316,0,2,'NYWoodstock Ave10003|NYWoodstock Ave10003+NYVictory Blvd+10003'
-74.0865,40.7722,1,0,'NJCo Rd 65710003|NJNew County Rd Exd10003'
-74.0863,40.8206,1,0,'NJE Union Ave10003'
-74.0849,40.6336,0,1,'NYChester Pl10003|NYChester Pl10003+NYCebra Ave+10003'
-74.0848,40.6140,0,1,'NYSobel Ct10003|NYSobel Ct10003+NYTargee St+10003'
-74.0846,40.6308,0,1,'NYPommer Ave10003|NYPommer Ave10003+NYWard Ave+10003'
-74.0839,40.6293,0,1,'NYOccident Ave10003+NYMarion Ave+10003'
-74.0837,40.7661,0,1,'NJRiverside Station Blvd10003|NJRiverside Station Blvd10003+NJBrianna Ln+10003'
-74.0819,40.7666,0,1,'NJNew County Rd10003|NJNew County Rd10003+NJNew County Rd Exd+10003|NJCounty Ave Exd10003|NJCounty Ave Exd10003+NJNew County Rd Exd+10003|NJNew County Rd Exd10003'
-74.0818,40.6015,0,1,'NYClove Rd10003+NYWhitney Ave+10003|NYWhitney Ave10003'
-74.0817,40.6043,0,1,'NYLakeview Ter10003|NYLakeview Ter10003+NYHillcrest Ct+10003'
-74.0814,40.6460,0,1,'NYNicholas St10003|NYNicholas St10003+NYSt Marks Pl+10003'
-74.0804,40.8861,0,1,'NJAve B10003+NJGrant St+10003|NJGrant St10003'
-74.0799,40.6430,0,1,'NYBelmont Pl10003+NYWall St+10003|NYWall St10003'
-74.0794,40.6450,0,1,'NYAcademy Pl10003'
-74.0793,40.6136,0,1,'NYStudio Ln10003'
-74.0779,40.9700,0,1,'NJZabriskie Pl10003'
-74.0772,40.7060,0,1,'NJMyrtle Ave10003+NJClerk St+10003'
-74.0766,40.8067,0,1,'NJMeadowlands Plz10003'
-74.0756,40.7642,0,1,'NJCastle Rd10003|NJCastle Rd10003+NJNew County Rd+10003'
-74.0736,40.7898,0,2,'NJMeadowlands Pkwy10003+NJCove Ct+10003|NJCove Ct10003'
-74.0733,40.7252,0,1,'NJDuncan Ave10003+NJState Rte 501+10003|NJDuncan Ave10003+NJJohn F Kennedy Blvd+10003|NJCo Rd 60710003'
-74.0728,40.8080,0,1,'NJState Rte 12010002'
-74.0721,40.6898,0,1,'NJIntrepid Pl10003'
